,CPUPAXFE Index_ratio
10117,1011.6994368331314
10118,1011.6994368331314
10119,1011.6994368331314
10120,1011.6994368331314
10121,1011.6994368331314
10122,1011.6994368331314
10123,1011.6994368331314
10124,1011.6994368331314
10125,1011.6994368331314
10126,1011.6994368331314
10127,1011.6994368331314
10128,1011.6994368331314
10129,1011.6994368331314
10130,1011.6994368331314
10131,1011.6994368331314
10132,1011.6994368331314
10133,1011.6994368331314
10134,1013.1345402910897
10135,1013.1345402910897
10136,1013.1345402910897
10137,1013.1345402910897
10138,1013.1345402910897
10139,1013.1345402910897
10140,1013.1345402910897
10141,1013.1345402910897
10142,1013.1345402910897
10143,1013.1345402910897
10144,1013.1345402910897
10145,1013.1345402910897
10146,1013.1345402910897
10147,1013.1345402910897
10148,1013.1345402910897
10149,1013.1345402910897
10150,1013.1345402910897
10151,1013.1345402910897
10152,1013.1345402910897
10153,1013.1345402910897
10154,1013.1345402910897
10155,1013.1345402910897
10156,1013.1345402910897
10157,1013.1345402910897
10158,1013.1345402910897
10159,1013.1345402910897
10160,1013.1345402910897
10161,1013.1345402910897
10162,1013.1345402910897
10163,1013.1345402910897
10164,1013.1345402910897
10165,1013.1345402910897
10166,1013.1345402910897
10167,1013.1345402910897
10168,1013.1345402910897
10169,1013.1345402910897
10170,1013.1345402910897
10171,1013.1345402910897
10172,1013.1345402910897
10173,1013.1345402910897
10174,1013.1345402910897
10175,1013.1345402910897
10176,1013.1345402910897
10177,1013.1345402910897
10178,1013.1345402910897
10179,1013.1345402910897
10180,1013.1345402910897
10181,1013.1345402910897
10182,1013.1345402910897
10183,1013.1345402910897
10184,1013.1345402910897
10185,1013.1345402910897
10186,1013.1345402910897
10187,1013.1345402910897
10188,1013.1345402910897
10189,1013.1345402910897
10190,1013.1345402910897
10191,1013.1345402910897
10192,1013.1345402910897
10193,1013.1345402910897
10194,1013.1345402910897
10195,1013.1345402910897
10196,1013.1345402910897
10197,1013.1345402910897
10198,1013.1345402910897
10199,1013.1345402910897
10200,1013.1345402910897
10201,1013.1345402910897
10202,1013.1345402910897
10203,1013.1345402910897
10204,1013.1345402910897
10205,1013.1345402910897
10206,1013.1345402910897
10207,1013.1345402910897
10208,1013.1345402910897
10209,1013.1345402910897
10210,1013.1345402910897
10211,1013.1345402910897
10212,1013.1345402910897
10213,1013.1345402910897
10214,1013.1345402910897
10215,1013.1345402910897
10216,1013.1345402910897
10217,1013.1345402910897
10218,1013.1345402910897
10219,1013.1345402910897
10220,1013.1345402910897
10221,1013.1345402910897
10222,1013.1345402910897
10223,1013.1345402910897
10224,1013.1345402910897
10225,1013.1345402910897
10226,1016.6705598380443
10227,1016.6705598380443
10228,1016.6705598380443
10229,1016.6705598380443
10230,1016.6705598380443
10231,1016.6705598380443
10232,1016.6705598380443
10233,1016.6705598380443
10234,1016.6705598380443
10235,1016.6705598380443
10236,1016.6705598380443
10237,1016.6705598380443
10238,1016.6705598380443
10239,1016.6705598380443
10240,1016.6705598380443
10241,1016.6705598380443
10242,1016.6705598380443
10243,1016.6705598380443
10244,1016.6705598380443
10245,1016.6705598380443
10246,1016.6705598380443
10247,1016.6705598380443
10248,1016.6705598380443
10249,1016.6705598380443
10250,1016.6705598380443
