Date,GDP PIQQ Index_ratio_annual
1965-11-27,1064.7864625302172
1965-11-28,1061.8946184894173
1965-11-29,1059.0175712201724
1965-11-30,1056.1552074457622
1965-12-01,1053.307415042778
1965-12-02,1050.4740830264798
1965-12-03,1047.65510153638
1965-12-04,1044.8503618220432
1965-12-05,1042.0597562291011
1965-12-06,1039.2831781854802
1965-12-07,1036.5205221878314
1965-12-08,1033.77168378817
1965-12-09,1031.0365595807118
1965-12-10,1028.3150471889046
1965-12-11,1025.6070452526574
1965-12-12,1022.912453415754
1965-12-13,1020.231172313457
1965-12-14,1017.5631035602938
1965-12-15,1014.9081497380214
1965-12-16,1012.2662143837716
1965-12-17,1009.6372019783653
1965-12-18,1007.0210179348029
1965-12-19,1004.4175685869197
1965-12-20,1001.8267611782069
1965-12-21,999.2485038507958
1965-12-22,996.6827056346009
1965-12-23,994.1292764366226
1965-12-24,991.588127030399
1965-12-25,989.059169045614
1965-12-26,986.5423149578552
1965-12-27,984.0374780785125
1965-12-28,981.5445725448293
1965-12-29,979.0635133100888
1965-12-30,976.594216133942
1965-12-31,974.1365975728764
1966-01-01,976.9142801528016
1966-01-02,979.7001977833643
1966-01-03,982.4943871408584
1966-01-04,985.2968851196948
1966-01-05,988.1077288340255
1966-01-06,990.9269556193797
1966-01-07,993.7546030343202
1966-01-08,996.590708862108
1966-01-09,999.4353111123878
1966-01-10,1002.2884480228844
1966-01-11,1005.1501580611169
1966-01-12,1008.0204799261271
1966-01-13,1010.8994525502243
1966-01-14,1013.7871151007446
1966-01-15,1016.6835069818292
1966-01-16,1019.5886678362136
1966-01-17,1022.5026375470397
1966-01-18,1025.4254562396782
1966-01-19,1028.3571642835716
1966-01-20,1031.297802294093
1966-01-21,1034.2474111344202
1966-01-22,1037.2060319174316
1966-01-23,1040.1737060076123
1966-01-24,1043.150475022985
1966-01-25,1046.1363808370545
1966-01-26,1049.1314655807705
1966-01-27,1052.1357716445104
1966-01-28,1055.1493416800781
1966-01-29,1058.1722186027228
1966-01-30,1061.2044455931766
1966-01-31,1064.2460660997099
1966-02-01,1067.2971238402067
1966-02-02,1070.3576628042604
1966-02-03,1073.4277272552856
1966-02-04,1076.5073617326548
1966-02-05,1079.5966110538493
1966-02-06,1082.6955203166362
1966-02-07,1085.804134901261
1966-02-08,1088.922500472663
1966-02-09,1092.050662982712
1966-02-10,1095.1886686724656
1966-02-11,1098.3365640744466
1966-02-12,1101.494396014944
1966-02-13,1104.6622116163344
1966-02-14,1107.8400582994266
1966-02-15,1111.027983785827
1966-02-16,1114.226036100329
1966-02-17,1117.4342635733246
1966-02-18,1120.6527148432385
1966-02-19,1123.881438858987
1966-02-20,1127.1204848824582
1966-02-21,1130.369902491019
1966-02-22,1133.6297415800434
1966-02-23,1136.900052365467
1966-02-24,1140.180885386365
1966-02-25,1143.4722915075558
1966-02-26,1146.77432192223
1966-02-27,1150.0870281546045
1966-02-28,1153.410462062602
1966-03-01,1158.6577618504646
1966-03-02,1162.0166421928539
1966-03-03,1165.3865010622653
1966-03-04,1168.7673923719105
1966-03-05,1172.1593703885883
1966-03-06,1175.562489735589
1966-03-07,1178.9768053956245
1966-03-08,1182.4023727137917
1966-03-09,1185.8392474005614
1966-03-10,1189.2874855347993
1966-03-11,1192.7471435668158
1966-03-12,1196.2182783214466
1966-03-13,1199.7009470011633
1966-03-14,1203.1952071892163
1966-03-15,1206.701116852809
1966-03-16,1210.2187343463017
1966-03-17,1213.7481184144506
1966-03-18,1217.2893281956779
1966-03-19,1220.8424232253738
1966-03-20,1224.4074634392334
1966-03-21,1227.9845091766292
1966-03-22,1231.573621184011
1966-03-23,1235.1748606183478
1966-03-24,1238.7882890506014
1966-03-25,1242.413968469232
1966-03-26,1246.0519612837495
1966-03-27,1249.7023303282874
1966-03-28,1253.365138865224
1966-03-29,1257.0404505888382
1966-03-30,1260.7283296289963
1966-03-31,1264.4288405548896
1966-04-01,1265.3655196028078
1966-04-02,1266.301557419134
1966-04-03,1267.2369546621046
1966-04-04,1268.1717119890545
1966-04-05,1269.1058300564202
1966-04-06,1270.0393095197403
1966-04-07,1270.972151033658
1966-04-08,1271.9043552519215
1966-04-09,1272.8359228273866
1966-04-10,1273.7668544120158
1966-04-11,1274.6971506568846
1966-04-12,1275.6268122121785
1966-04-13,1276.5558397271955
1966-04-14,1277.48423385035
1966-04-15,1278.4119952291705
1966-04-16,1279.3391245103053
1966-04-17,1280.2656223395202
1966-04-18,1281.1914893617025
1966-04-19,1282.1167262208617
1966-04-20,1283.0413335601295
1966-04-21,1283.9653120217654
1966-04-22,1284.8886622471534
1966-04-23,1285.8113848768057
1966-04-24,1286.7334805503656
1966-04-25,1287.654949906606
1966-04-26,1288.5757935834326
1966-04-27,1289.4960122178863
1966-04-28,1290.415606446141
1966-04-29,1291.3345769035109
1966-04-30,1292.2529242244448
1966-05-01,1293.1706490425354
1966-05-02,1294.0877519905139
1966-05-03,1295.0042337002546
1966-05-04,1295.9200948027767
1966-05-05,1296.8353359282453
1966-05-06,1297.749957705972
1966-05-07,1298.6639607644174
1966-05-08,1299.577345731192
1966-05-09,1300.4901132330576
1966-05-10,1301.4022638959286
1966-05-11,1302.3137983448746
1966-05-12,1303.2247172041198
1966-05-13,1304.1350210970468
1966-05-14,1305.0447106461957
1966-05-15,1305.953786473267
1966-05-16,1306.8622491991234
1966-05-17,1307.7700994437891
1966-05-18,1308.6773378264534
1966-05-19,1309.583964965471
1966-05-20,1310.489981478364
1966-05-21,1311.3953879818214
1966-05-22,1312.3001850917046
1966-05-23,1313.204373423045
1966-05-24,1314.1079535900462
1966-05-25,1315.0109262060853
1966-05-26,1315.9132918837172
1966-05-27,1316.815051234672
1966-05-28,1317.7162048698576
1966-05-29,1318.6167533993626
1966-05-30,1319.5166974324554
1966-05-31,1320.4160375775882
1966-06-01,1321.3147744423952
1966-06-02,1322.2129086336965
1966-06-03,1323.1104407575003
1966-06-04,1324.0073714189984
1966-06-05,1324.9037012225763
1966-06-06,1325.7994307718068
1966-06-07,1326.6945606694565
1966-06-08,1327.5890915174841
1966-06-09,1328.4830239170433
1966-06-10,1329.3763584684839
1966-06-11,1330.269095771353
1966-06-12,1331.1612364243947
1966-06-13,1332.0527810255558
1966-06-14,1332.9437301719822
1966-06-15,1333.8340844600236
1966-06-16,1334.7238444852333
1966-06-17,1335.613010842369
1966-06-18,1336.5015841253967
1966-06-19,1337.3895649274884
1966-06-20,1338.2769538410266
1966-06-21,1339.1637514576048
1966-06-22,1340.0499583680269
1966-06-23,1340.935575162311
1966-06-24,1341.820602429689
1966-06-25,1342.7050407586096
1966-06-26,1343.5888907367373
1966-06-27,1344.4721529509563
1966-06-28,1345.3548279873696
1966-06-29,1346.236916431301
1966-06-30,1347.1184188672978
1966-07-01,1348.5401459854015
1966-07-02,1349.958574979288
1966-07-03,1351.3737173121488
1966-07-04,1352.785584394115
1966-07-05,1354.1941875825626
1966-07-06,1355.5995381824182
1966-07-07,1357.001647446458
1966-07-08,1358.4005265756132
1966-07-09,1359.7961867192637
1966-07-10,1361.1886389755375
1966-07-11,1362.5778943916039
1966-07-12,1363.963963963964
1966-07-13,1365.3468586387437
1966-07-14,1366.7265893119793
1966-07-15,1368.1031668299051
1966-07-16,1369.4766019892386
1966-07-17,1370.8469055374594
1966-07-18,1372.2140881730927
1966-07-19,1373.5781605459865
1966-07-20,1374.939133257588
1966-07-21,1376.2970168612192
1966-07-22,1377.6518218623487
1966-07-23,1379.0035587188613
1966-07-24,1380.3522378413315
1966-07-25,1381.6978695932858
1966-07-26,1383.0404642914718
1966-07-27,1384.3800322061197
1966-07-28,1385.716583561203
1966-07-29,1387.0501285347048
1966-07-30,1388.380677258867
1966-07-31,1389.7082398204554
1966-08-01,1391.0328262610094
1966-08-02,1392.3544465770951
1966-08-03,1393.6731107205624
1966-08-04,1394.9888285987872
1966-08-05,1396.301610074924
1966-08-06,1397.611464968153
1966-08-07,1398.9184030539209
1966-08-08,1400.2224340641883
1966-08-09,1401.5235676876687
1966-08-10,1402.8218135700695
1966-08-11,1404.1171813143312
1966-08-12,1405.4096804808607
1966-08-13,1406.6993205877707
1966-08-14,1407.986111111111
1966-08-15,1409.2700614851015
1966-08-16,1410.5511811023625
1966-08-17,1411.8294793141422
1966-08-18,1413.1049654305468
1966-08-19,1414.3776487207663
1966-08-20,1415.6475384132957
1966-08-21,1416.914643696163
1966-08-22,1418.1789737171466
1966-08-23,1419.4405375839974
1966-08-24,1420.6993443646584
1966-08-25,1421.9554030874783
1966-08-26,1423.2087227414333
1966-08-27,1424.4593122763345
1966-08-28,1425.7071806030465
1966-08-29,1426.9523365936966
1966-08-30,1428.1947890818858
1966-08-31,1429.4345468628972
1966-09-01,1430.671618693903
1966-09-02,1431.9060132941722
1966-09-03,1433.137739345275
1966-09-04,1434.3668054912853
1966-09-05,1435.5932203389832
1966-09-06,1436.8169924580577
1966-09-07,1438.0381303813037
1966-09-08,1439.2566426048227
1966-09-09,1440.4725375882174
1966-09-10,1441.6858237547895
1966-09-11,1442.8965094917328
1966-09-12,1444.1046031503292
1966-09-13,1445.310113046135
1966-09-14,1446.5130474591792
1966-09-15,1447.7134146341464
1966-09-16,1448.9112227805697
1966-09-17,1450.1064800730153
1966-09-18,1451.299194651269
1966-09-19,1452.4893746205223
1966-09-20,1453.6770280515543
1966-09-21,1454.862162980915
1966-09-22,1456.0447874111064
1966-09-23,1457.224909310762
1966-09-24,1458.4025366148273
