,GBPUSD Curncy_ratio
10117,1009.5248799970653
10118,1009.5248799970653
10119,1009.5248799970653
10120,1009.5248799970653
10121,1009.5248799970653
10122,1009.5248799970653
10123,1009.5248799970653
10124,1009.5248799970653
10125,1009.5248799970653
10126,1009.5248799970653
10127,1009.5248799970653
10128,1009.5248799970653
10129,1009.5248799970653
10130,1009.5248799970653
10131,1009.5248799970653
10132,1009.5248799970653
10133,1009.5248799970653
10134,1045.0527268079732
10135,1045.0527268079732
10136,1045.0527268079732
10137,1045.0527268079732
10138,1045.0527268079732
10139,1045.0527268079732
10140,1045.0527268079732
10141,1045.0527268079732
10142,1045.0527268079732
10143,1045.0527268079732
10144,1045.0527268079732
10145,1045.0527268079732
10146,1045.0527268079732
10147,1045.0527268079732
10148,1045.0527268079732
10149,1045.0527268079732
10150,1045.0527268079732
10151,1045.0527268079732
10152,1045.0527268079732
10153,1045.0527268079732
10154,1045.0527268079732
10155,1045.0527268079732
10156,1045.0527268079732
10157,1045.0527268079732
10158,1045.0527268079732
10159,1045.0527268079732
10160,1045.0527268079732
10161,1045.0527268079732
10162,1045.0527268079732
10163,1045.0527268079732
10164,1045.0527268079732
10165,1045.0527268079732
10166,1045.0527268079732
10167,1045.0527268079732
10168,1045.0527268079732
10169,1045.0527268079732
10170,1045.0527268079732
10171,1045.0527268079732
10172,1045.0527268079732
10173,1045.0527268079732
10174,1045.0527268079732
10175,1045.0527268079732
10176,1045.0527268079732
10177,1045.0527268079732
10178,1045.0527268079732
10179,1045.0527268079732
10180,1045.0527268079732
10181,1045.0527268079732
10182,1045.0527268079732
10183,1045.0527268079732
10184,1045.0527268079732
10185,1045.0527268079732
10186,1045.0527268079732
10187,1045.0527268079732
10188,1045.0527268079732
10189,1045.0527268079732
10190,1045.0527268079732
10191,1045.0527268079732
10192,1045.0527268079732
10193,1045.0527268079732
10194,1045.0527268079732
10195,1045.0527268079732
10196,1045.0527268079732
10197,1045.0527268079732
10198,1045.0527268079732
10199,1045.0527268079732
10200,1045.0527268079732
10201,1045.0527268079732
10202,1045.0527268079732
10203,1045.0527268079732
10204,1045.0527268079732
10205,1045.0527268079732
10206,1045.0527268079732
10207,1045.0527268079732
10208,1045.0527268079732
10209,1045.0527268079732
10210,1045.0527268079732
10211,1045.0527268079732
10212,1045.0527268079732
10213,1045.0527268079732
10214,1045.0527268079732
10215,1045.0527268079732
10216,1045.0527268079732
10217,1045.0527268079732
10218,1045.0527268079732
10219,1045.0527268079732
10220,1045.0527268079732
10221,1045.0527268079732
10222,1045.0527268079732
10223,1045.0527268079732
10224,1045.0527268079732
10225,1045.0527268079732
10226,1062.068385773066
10227,1062.068385773066
10228,1062.068385773066
10229,1062.068385773066
10230,1062.068385773066
10231,1062.068385773066
10232,1062.068385773066
10233,1062.068385773066
10234,1062.068385773066
10235,1062.068385773066
