,NHSPATOT Index_ratio
10117,1042.2540150298287
10118,1042.2540150298287
10119,1042.2540150298287
10120,1042.2540150298287
10121,1042.2540150298287
10122,1042.2540150298287
10123,1042.2540150298287
10124,1042.2540150298287
10125,1042.2540150298287
10126,1042.2540150298287
10127,1042.2540150298287
10128,1042.2540150298287
10129,1042.2540150298287
10130,1042.2540150298287
10131,1042.2540150298287
10132,1042.2540150298287
10133,1042.2540150298287
10134,998.0241479137878
10135,998.0241479137878
10136,998.0241479137878
10137,998.0241479137878
10138,998.0241479137878
10139,998.0241479137878
10140,998.0241479137878
10141,998.0241479137878
10142,998.0241479137878
10143,998.0241479137878
10144,998.0241479137878
10145,998.0241479137878
10146,998.0241479137878
10147,998.0241479137878
10148,998.0241479137878
10149,998.0241479137878
10150,998.0241479137878
10151,998.0241479137878
10152,998.0241479137878
10153,998.0241479137878
10154,998.0241479137878
10155,998.0241479137878
10156,998.0241479137878
10157,998.0241479137878
10158,998.0241479137878
10159,998.0241479137878
10160,998.0241479137878
10161,998.0241479137878
10162,998.0241479137878
10163,998.0241479137878
10164,998.0241479137878
10165,998.0241479137878
10166,998.0241479137878
10167,998.0241479137878
10168,998.0241479137878
10169,998.0241479137878
10170,998.0241479137878
10171,998.0241479137878
10172,998.0241479137878
10173,998.0241479137878
10174,998.0241479137878
10175,998.0241479137878
10176,998.0241479137878
10177,998.0241479137878
10178,998.0241479137878
10179,998.0241479137878
10180,998.0241479137878
10181,998.0241479137878
10182,998.0241479137878
10183,998.0241479137878
10184,998.0241479137878
10185,998.0241479137878
10186,998.0241479137878
10187,998.0241479137878
10188,998.0241479137878
10189,998.0241479137878
10190,998.0241479137878
10191,998.0241479137878
10192,998.0241479137878
10193,998.0241479137878
10194,998.0241479137878
10195,998.0241479137878
10196,998.0241479137878
10197,998.0241479137878
10198,998.0241479137878
10199,998.0241479137878
10200,998.0241479137878
10201,998.0241479137878
10202,998.0241479137878
10203,998.0241479137878
10204,998.0241479137878
10205,998.0241479137878
10206,998.0241479137878
10207,998.0241479137878
10208,998.0241479137878
10209,998.0241479137878
10210,998.0241479137878
10211,998.0241479137878
10212,998.0241479137878
10213,998.0241479137878
10214,998.0241479137878
10215,998.0241479137878
10216,998.0241479137878
10217,998.0241479137878
10218,998.0241479137878
10219,998.0241479137878
10220,998.0241479137878
10221,998.0241479137878
10222,998.0241479137878
10223,998.0241479137878
10224,998.0241479137878
10225,998.0241479137878
10226,1005.1867862599936
10227,1005.1867862599936
10228,1005.1867862599936
10229,1005.1867862599936
10230,1005.1867862599936
10231,1005.1867862599936
10232,1005.1867862599936
10233,1005.1867862599936
10234,1005.1867862599936
10235,1005.1867862599936
10236,1005.1867862599936
10237,1005.1867862599936
10238,1005.1867862599936
10239,1005.1867862599936
10240,1005.1867862599936
10241,1005.1867862599936
10242,1005.1867862599936
10243,1005.1867862599936
10244,1005.1867862599936
10245,1005.1867862599936
10246,1005.1867862599936
10247,1005.1867862599936
10248,1005.1867862599936
10249,1005.1867862599936
10250,1005.1867862599936
10251,1005.1867862599936
10252,1005.1867862599936
10253,1005.1867862599936
10254,1005.1867862599936
10255,1005.1867862599936
10256,1005.1867862599936
10257,1005.1867862599936
10258,1005.1867862599936
10259,1005.1867862599936
10260,1005.1867862599936
10261,1005.1867862599936
10262,1005.1867862599936
10263,1005.1867862599936
10264,1005.1867862599936
10265,1005.1867862599936
10266,1005.1867862599936
10267,1005.1867862599936
10268,1005.1867862599936
10269,1005.1867862599936
10270,1005.1867862599936
10271,1005.1867862599936
10272,1005.1867862599936
10273,1005.1867862599936
10274,1005.1867862599936
10275,1005.1867862599936
10276,1005.1867862599936
10277,1005.1867862599936
10278,1005.1867862599936
10279,1005.1867862599936
10280,1005.1867862599936
10281,1005.1867862599936
10282,1005.1867862599936
10283,1005.1867862599936
10284,1005.1867862599936
10285,1005.1867862599936
10286,1005.1867862599936
10287,1005.1867862599936
10288,1005.1867862599936
10289,1005.1867862599936
10290,1005.1867862599936
10291,1005.1867862599936
10292,1005.1867862599936
10293,1005.1867862599936
10294,1005.1867862599936
10295,1005.1867862599936
10296,1005.1867862599936
10297,1005.1867862599936
10298,1005.1867862599936
10299,1005.1867862599936
10300,1005.1867862599936
10301,1005.1867862599936
10302,1005.1867862599936
10303,1005.1867862599936
10304,1005.1867862599936
10305,1005.1867862599936
10306,1005.1867862599936
10307,1005.1867862599936
10308,1005.1867862599936
10309,1005.1867862599936
10310,1005.1867862599936
10311,1005.1867862599936
10312,1005.1867862599936
10313,1005.1867862599936
10314,1005.1867862599936
10315,1005.1867862599936
10316,1055.596182989385
10317,1055.596182989385
10318,1055.596182989385
10319,1055.596182989385
10320,1055.596182989385
10321,1055.596182989385
10322,1055.596182989385
10323,1055.596182989385
10324,1055.596182989385
10325,1055.596182989385
10326,1055.596182989385
10327,1055.596182989385
10328,1055.596182989385
10329,1055.596182989385
