,CPI CHNG Index_ratio
10117,1215.6218402426691
10118,1215.6218402426691
10119,1215.6218402426691
10120,1215.6218402426691
10121,1215.6218402426691
10122,1215.6218402426691
10123,1215.6218402426691
10124,1215.6218402426691
10125,1215.6218402426691
10126,1215.6218402426691
10127,1215.6218402426691
10128,1215.6218402426691
10129,1215.6218402426691
10130,1215.6218402426691
10131,1215.6218402426691
10132,1215.6218402426691
10133,1215.6218402426691
10134,941.048034934498
10135,941.048034934498
10136,941.048034934498
10137,941.048034934498
10138,941.048034934498
10139,941.048034934498
10140,941.048034934498
10141,941.048034934498
10142,941.048034934498
10143,941.048034934498
10144,941.048034934498
10145,941.048034934498
10146,941.048034934498
10147,941.048034934498
10148,941.048034934498
10149,941.048034934498
10150,941.048034934498
10151,941.048034934498
10152,941.048034934498
10153,941.048034934498
10154,941.048034934498
10155,941.048034934498
10156,941.048034934498
10157,941.048034934498
10158,941.048034934498
10159,941.048034934498
10160,941.048034934498
10161,941.048034934498
10162,941.048034934498
10163,941.048034934498
10164,941.048034934498
10165,941.048034934498
10166,941.048034934498
10167,941.048034934498
10168,941.048034934498
10169,941.048034934498
10170,941.048034934498
10171,941.048034934498
10172,941.048034934498
10173,941.048034934498
10174,941.048034934498
10175,941.048034934498
10176,941.048034934498
10177,941.048034934498
10178,941.048034934498
10179,941.048034934498
10180,941.048034934498
10181,941.048034934498
10182,941.048034934498
10183,941.048034934498
10184,941.048034934498
10185,941.048034934498
10186,941.048034934498
10187,941.048034934498
10188,941.048034934498
10189,941.048034934498
10190,941.048034934498
10191,941.048034934498
10192,941.048034934498
10193,941.048034934498
10194,941.048034934498
10195,941.048034934498
10196,941.048034934498
10197,941.048034934498
10198,941.048034934498
10199,941.048034934498
10200,941.048034934498
10201,941.048034934498
10202,941.048034934498
10203,941.048034934498
10204,941.048034934498
10205,941.048034934498
10206,941.048034934498
10207,941.048034934498
10208,941.048034934498
10209,941.048034934498
10210,941.048034934498
10211,941.048034934498
10212,941.048034934498
10213,941.048034934498
10214,941.048034934498
10215,941.048034934498
10216,941.048034934498
10217,941.048034934498
10218,941.048034934498
10219,941.048034934498
10220,941.048034934498
10221,941.048034934498
10222,941.048034934498
10223,941.048034934498
10224,941.048034934498
10225,941.048034934498
10226,1136.0659963908224
10227,1136.0659963908224
10228,1136.0659963908224
10229,1136.0659963908224
10230,1136.0659963908224
10231,1136.0659963908224
10232,1136.0659963908224
10233,1136.0659963908224
10234,1136.0659963908224
10235,1136.0659963908224
10236,1136.0659963908224
10237,1136.0659963908224
10238,1136.0659963908224
10239,1136.0659963908224
10240,1136.0659963908224
10241,1136.0659963908224
10242,1136.0659963908224
10243,1136.0659963908224
10244,1136.0659963908224
10245,1136.0659963908224
10246,1136.0659963908224
10247,1136.0659963908224
10248,1136.0659963908224
10249,1136.0659963908224
10250,1136.0659963908224
10251,1136.0659963908224
10252,1136.0659963908224
10253,1136.0659963908224
10254,1136.0659963908224
10255,1136.0659963908224
10256,1136.0659963908224
10257,1136.0659963908224
10258,1136.0659963908224
10259,1136.0659963908224
10260,1136.0659963908224
10261,1136.0659963908224
10262,1136.0659963908224
10263,1136.0659963908224
10264,1136.0659963908224
10265,1136.0659963908224
10266,1136.0659963908224
10267,1136.0659963908224
10268,1136.0659963908224
10269,1136.0659963908224
10270,1136.0659963908224
10271,1136.0659963908224
10272,1136.0659963908224
10273,1136.0659963908224
10274,1136.0659963908224
10275,1136.0659963908224
10276,1136.0659963908224
10277,1136.0659963908224
10278,1136.0659963908224
10279,1136.0659963908224
10280,1136.0659963908224
10281,1136.0659963908224
10282,1136.0659963908224
10283,1136.0659963908224
10284,1136.0659963908224
10285,1136.0659963908224
10286,1136.0659963908224
10287,1136.0659963908224
10288,1136.0659963908224
10289,1136.0659963908224
10290,1136.0659963908224
10291,1136.0659963908224
10292,1136.0659963908224
10293,1136.0659963908224
10294,1136.0659963908224
10295,1136.0659963908224
10296,1136.0659963908224
10297,1136.0659963908224
10298,1136.0659963908224
10299,1136.0659963908224
10300,1136.0659963908224
10301,1136.0659963908224
10302,1136.0659963908224
10303,1136.0659963908224
10304,1136.0659963908224
10305,1136.0659963908224
10306,1136.0659963908224
10307,1136.0659963908224
10308,1136.0659963908224
10309,1136.0659963908224
10310,1136.0659963908224
10311,1136.0659963908224
10312,1136.0659963908224
10313,1136.0659963908224
10314,1136.0659963908224
10315,1136.0659963908224
10316,1445.318773084953
10317,1445.318773084953
10318,1445.318773084953
10319,1445.318773084953
10320,1445.318773084953
10321,1445.318773084953
10322,1445.318773084953
10323,1445.318773084953
10324,1445.318773084953
10325,1445.318773084953
