,USDMXN Curncy_ratio
10117,1257.5971912123127
10118,1257.5971912123127
10119,1257.5971912123127
10120,1257.5971912123127
10121,1257.5971912123127
10122,1257.5971912123127
10123,1257.5971912123127
10124,1257.5971912123127
10125,1257.5971912123127
10126,1257.5971912123127
10127,1257.5971912123127
10128,1257.5971912123127
10129,1257.5971912123127
10130,1257.5971912123127
10131,1257.5971912123127
10132,1257.5971912123127
10133,1257.5971912123127
10134,990.845270847168
10135,990.845270847168
10136,990.845270847168
10137,990.845270847168
10138,990.845270847168
10139,990.845270847168
10140,990.845270847168
10141,990.845270847168
10142,990.845270847168
10143,990.845270847168
10144,990.845270847168
10145,990.845270847168
10146,990.845270847168
10147,990.845270847168
10148,990.845270847168
10149,990.845270847168
10150,990.845270847168
10151,990.845270847168
10152,990.845270847168
10153,990.845270847168
10154,990.845270847168
10155,990.845270847168
10156,990.845270847168
10157,990.845270847168
10158,990.845270847168
10159,990.845270847168
10160,990.845270847168
10161,990.845270847168
10162,990.845270847168
10163,990.845270847168
10164,990.845270847168
10165,990.845270847168
10166,990.845270847168
10167,990.845270847168
10168,990.845270847168
10169,990.845270847168
10170,990.845270847168
10171,990.845270847168
10172,990.845270847168
10173,990.845270847168
10174,990.845270847168
10175,990.845270847168
10176,990.845270847168
10177,990.845270847168
10178,990.845270847168
10179,990.845270847168
10180,990.845270847168
10181,990.845270847168
10182,990.845270847168
10183,990.845270847168
10184,990.845270847168
10185,990.845270847168
10186,990.845270847168
10187,990.845270847168
10188,990.845270847168
10189,990.845270847168
10190,990.845270847168
10191,990.845270847168
10192,990.845270847168
10193,990.845270847168
10194,990.845270847168
10195,990.845270847168
10196,990.845270847168
10197,990.845270847168
10198,990.845270847168
10199,990.845270847168
10200,990.845270847168
10201,990.845270847168
10202,990.845270847168
10203,990.845270847168
10204,990.845270847168
10205,990.845270847168
10206,990.845270847168
10207,990.845270847168
10208,990.845270847168
10209,990.845270847168
10210,990.845270847168
10211,990.845270847168
10212,990.845270847168
10213,990.845270847168
10214,990.845270847168
10215,990.845270847168
10216,990.845270847168
10217,990.845270847168
10218,990.845270847168
10219,990.845270847168
10220,990.845270847168
10221,990.845270847168
10222,990.845270847168
10223,990.845270847168
10224,990.845270847168
10225,990.845270847168
10226,1002.794665985819
10227,1002.794665985819
10228,1002.794665985819
10229,1002.794665985819
10230,1002.794665985819
10231,1002.794665985819
10232,1002.794665985819
10233,1002.794665985819
10234,1002.794665985819
10235,1002.794665985819
10236,1002.794665985819
10237,1002.794665985819
10238,1002.794665985819
