Date,NAPMPRIC Index_ratio
1950-01-02,
1950-01-03,
1950-01-04,
1950-01-05,
1950-01-06,
1950-01-07,
1950-01-08,
1950-01-09,
1950-01-10,
1950-01-11,
1950-01-12,
1950-01-13,
1950-01-14,
1950-01-15,
1950-01-16,
1950-01-17,
1950-01-18,
1950-01-19,
1950-01-20,
1950-01-21,
1950-01-22,
1950-01-23,
1950-01-24,
1950-01-25,
1950-01-26,
1950-01-27,
1950-01-28,
1950-01-29,
1950-01-30,
1950-01-31,
1950-02-01,
1950-02-02,
1950-02-03,
1950-02-04,
1950-02-05,
1950-02-06,
1950-02-07,
1950-02-08,
1950-02-09,
1950-02-10,
1950-02-11,
1950-02-12,
1950-02-13,
1950-02-14,
1950-02-15,
1950-02-16,
1950-02-17,
1950-02-18,
1950-02-19,
1950-02-20,
1950-02-21,
1950-02-22,
1950-02-23,
1950-02-24,
1950-02-25,
1950-02-26,
1950-02-27,
1950-02-28,
1950-03-01,
1950-03-02,
1950-03-03,
1950-03-04,
1950-03-05,
1950-03-06,
1950-03-07,
1950-03-08,
1950-03-09,
1950-03-10,
1950-03-11,
1950-03-12,
1950-03-13,
1950-03-14,
1950-03-15,
1950-03-16,
1950-03-17,
1950-03-18,
1950-03-19,
1950-03-20,
1950-03-21,
1950-03-22,
1950-03-23,
1950-03-24,
1950-03-25,
1950-03-26,
1950-03-27,
1950-03-28,
1950-03-29,
1950-03-30,
1950-03-31,
1950-04-01,1253.0168946098152
1950-04-02,1253.0168946098152
1950-04-03,1253.0168946098152
1950-04-04,1253.0168946098152
1950-04-05,1253.0168946098152
1950-04-06,1253.0168946098152
1950-04-07,1253.0168946098152
1950-04-08,1253.0168946098152
1950-04-09,1253.0168946098152
1950-04-10,1253.0168946098152
1950-04-11,1253.0168946098152
1950-04-12,1253.0168946098152
1950-04-13,1253.0168946098152
1950-04-14,1253.0168946098152
1950-04-15,1253.0168946098152
1950-04-16,1253.0168946098152
1950-04-17,1253.0168946098152
1950-04-18,1253.0168946098152
1950-04-19,1253.0168946098152
1950-04-20,1253.0168946098152
1950-04-21,1253.0168946098152
1950-04-22,1253.0168946098152
1950-04-23,1253.0168946098152
1950-04-24,1253.0168946098152
1950-04-25,1253.0168946098152
1950-04-26,1253.0168946098152
1950-04-27,1253.0168946098152
1950-04-28,1253.0168946098152
1950-04-29,1253.0168946098152
1950-04-30,1254.7526755893612
1950-05-01,1256.376470699259
1950-05-02,1257.8987786147884
1950-05-03,1259.3288254445279
1950-05-04,1260.674751872518
1950-05-05,1261.9437682189089
1950-05-06,1263.142283657167
1950-05-07,1264.2760144771405
1950-05-08,1265.3500752539578
1950-05-09,1266.3690559909383
1950-05-10,1267.3370876910703
1950-05-11,1268.2578983326587
1950-05-12,1269.1348608484568
1950-05-13,1269.9710344100322
1950-05-14,1270.769200082445
1950-05-15,1271.5318917249729
1950-05-16,1272.2614228613038
1950-05-17,1272.9599101194929
1950-05-18,1273.6292937419248
1950-05-19,1274.2713555838486
1950-05-20,1274.8877349520956
1950-05-21,1275.479942580411
1950-05-22,1276.049372992253
1950-05-23,1276.5973154640255
1950-05-24,1277.124963770177
1950-05-25,1277.6334248651954
1950-05-26,1278.123726635392
1950-05-27,1278.5968248347044
1950-05-28,1279.0536093030062
1950-05-29,1279.494909552043
1950-05-30,1279.921499792779
1950-05-31,1285.1359565878909
1950-06-01,1290.1822050992891
1950-06-02,1295.068255245246
1950-06-03,1299.8016163241427
1950-06-04,1304.3893355236883
1950-06-05,1308.838032929308
1950-06-06,1313.1539333974465
1950-06-07,1317.3428956165221
1950-06-08,1321.410438640842
1950-06-09,1325.3617661501814
1950-06-10,1329.2017886592575
1950-06-11,1332.9351438764152
1950-06-12,1336.5662153889932
1950-06-13,1340.0991498336634
1950-06-14,1343.5378726931424
1950-06-15,1346.8861028457932
1950-06-16,1350.1473659814917
1950-06-17,1353.3250069855058
1950-06-18,1356.4222013818235
1950-06-19,1359.4419659182333
