,NHSLTOT Index_ratio
10132,980.959932706703
10133,980.959932706703
10134,1051.309938461115
10135,1051.309938461115
10136,1051.309938461115
10137,1051.309938461115
10138,1051.309938461115
10139,1051.309938461115
10140,1051.309938461115
10141,1051.309938461115
10142,1051.309938461115
10143,1051.309938461115
10144,1051.309938461115
10145,1051.309938461115
10146,1051.309938461115
10147,1051.309938461115
10148,1051.309938461115
10149,1051.309938461115
10150,1051.309938461115
10151,1051.309938461115
10152,1051.309938461115
10153,1051.309938461115
10154,1051.309938461115
10155,1051.309938461115
10156,1051.309938461115
10157,1051.309938461115
10158,1051.309938461115
10159,1051.309938461115
10160,1051.309938461115
10161,1051.309938461115
10162,1051.309938461115
10163,1051.309938461115
10164,1051.309938461115
10165,1051.309938461115
10166,1051.309938461115
10167,1051.309938461115
10168,1051.309938461115
10169,1051.309938461115
10170,1051.309938461115
10171,1051.309938461115
10172,1051.309938461115
10173,1051.309938461115
10174,1051.309938461115
10175,1051.309938461115
10176,1051.309938461115
10177,1051.309938461115
10178,1051.309938461115
10179,1051.309938461115
10180,1051.309938461115
10181,1051.309938461115
10182,1051.309938461115
10183,1051.309938461115
10184,1051.309938461115
10185,1051.309938461115
10186,1051.309938461115
10187,1051.309938461115
10188,1051.309938461115
10189,1051.309938461115
10190,1051.309938461115
10191,1051.309938461115
10192,1051.309938461115
10193,1051.309938461115
10194,1051.309938461115
10195,1051.309938461115
10196,1051.309938461115
10197,1051.309938461115
10198,1051.309938461115
10199,1051.309938461115
10200,1051.309938461115
10201,1051.309938461115
10202,1051.309938461115
10203,1051.309938461115
10204,1051.309938461115
10205,1051.309938461115
10206,1051.309938461115
10207,1051.309938461115
10208,1051.309938461115
10209,1051.309938461115
10210,1051.309938461115
10211,1051.309938461115
10212,1051.309938461115
10213,1051.309938461115
10214,1051.309938461115
10215,1051.309938461115
10216,1051.309938461115
10217,1051.309938461115
10218,1051.309938461115
10219,1051.309938461115
10220,1051.309938461115
10221,1051.309938461115
10222,1051.309938461115
10223,1051.309938461115
10224,1051.309938461115
10225,1051.309938461115
10226,972.4390201316501
10227,972.4390201316501
10228,972.4390201316501
10229,972.4390201316501
10230,972.4390201316501
10231,972.4390201316501
10232,972.4390201316501
10233,972.4390201316501
10234,972.4390201316501
10235,972.4390201316501
10236,972.4390201316501
10237,972.4390201316501
10238,972.4390201316501
10239,972.4390201316501
10240,972.4390201316501
10241,972.4390201316501
10242,972.4390201316501
10243,972.4390201316501
10244,972.4390201316501
10245,972.4390201316501
10246,972.4390201316501
10247,972.4390201316501
10248,972.4390201316501
10249,972.4390201316501
10250,972.4390201316501
10251,972.4390201316501
10252,972.4390201316501
10253,972.4390201316501
10254,972.4390201316501
10255,972.4390201316501
10256,972.4390201316501
10257,972.4390201316501
10258,972.4390201316501
10259,972.4390201316501
10260,972.4390201316501
10261,972.4390201316501
10262,972.4390201316501
10263,972.4390201316501
10264,972.4390201316501
10265,972.4390201316501
10266,972.4390201316501
10267,972.4390201316501
10268,972.4390201316501
10269,972.4390201316501
10270,972.4390201316501
10271,972.4390201316501
10272,972.4390201316501
10273,972.4390201316501
10274,972.4390201316501
10275,972.4390201316501
10276,972.4390201316501
10277,972.4390201316501
10278,972.4390201316501
10279,972.4390201316501
10280,972.4390201316501
10281,972.4390201316501
10282,972.4390201316501
10283,972.4390201316501
10284,972.4390201316501
10285,972.4390201316501
10286,972.4390201316501
10287,972.4390201316501
10288,972.4390201316501
10289,972.4390201316501
10290,972.4390201316501
10291,972.4390201316501
10292,972.4390201316501
10293,972.4390201316501
10294,972.4390201316501
10295,972.4390201316501
10296,972.4390201316501
10297,972.4390201316501
10298,972.4390201316501
10299,972.4390201316501
10300,972.4390201316501
10301,972.4390201316501
10302,972.4390201316501
10303,972.4390201316501
10304,972.4390201316501
10305,972.4390201316501
10306,972.4390201316501
10307,972.4390201316501
10308,972.4390201316501
10309,972.4390201316501
10310,972.4390201316501
