,PCE DEFY Index_ratio
10117,1023.7694540513831
10118,1023.7694540513831
10119,1023.7694540513831
10120,1023.7694540513831
10121,1023.7694540513831
10122,1023.7694540513831
10123,1023.7694540513831
10124,1023.7694540513831
10125,1023.7694540513831
10126,1023.7694540513831
10127,1023.7694540513831
10128,1023.7694540513831
10129,1023.7694540513831
10130,1023.7694540513831
10131,1023.7694540513831
10132,1023.7694540513831
10133,1023.7694540513831
10134,961.6785431512279
10135,961.6785431512279
10136,961.6785431512279
10137,961.6785431512279
10138,961.6785431512279
10139,961.6785431512279
10140,961.6785431512279
10141,961.6785431512279
10142,961.6785431512279
10143,961.6785431512279
10144,961.6785431512279
10145,961.6785431512279
10146,961.6785431512279
10147,961.6785431512279
10148,961.6785431512279
10149,961.6785431512279
10150,961.6785431512279
10151,961.6785431512279
10152,961.6785431512279
10153,961.6785431512279
10154,961.6785431512279
10155,961.6785431512279
10156,961.6785431512279
10157,961.6785431512279
10158,961.6785431512279
10159,961.6785431512279
10160,961.6785431512279
10161,961.6785431512279
10162,961.6785431512279
10163,961.6785431512279
10164,961.6785431512279
10165,961.6785431512279
10166,961.6785431512279
10167,961.6785431512279
10168,961.6785431512279
10169,961.6785431512279
10170,961.6785431512279
10171,961.6785431512279
10172,961.6785431512279
10173,961.6785431512279
10174,961.6785431512279
10175,961.6785431512279
10176,961.6785431512279
10177,961.6785431512279
10178,961.6785431512279
10179,961.6785431512279
10180,961.6785431512279
10181,961.6785431512279
10182,961.6785431512279
10183,961.6785431512279
10184,961.6785431512279
10185,961.6785431512279
10186,961.6785431512279
10187,961.6785431512279
10188,961.6785431512279
10189,961.6785431512279
10190,961.6785431512279
10191,961.6785431512279
10192,961.6785431512279
10193,961.6785431512279
10194,961.6785431512279
10195,961.6785431512279
10196,961.6785431512279
10197,961.6785431512279
10198,961.6785431512279
10199,961.6785431512279
10200,961.6785431512279
10201,961.6785431512279
10202,961.6785431512279
10203,961.6785431512279
10204,961.6785431512279
10205,961.6785431512279
10206,961.6785431512279
10207,961.6785431512279
10208,961.6785431512279
10209,961.6785431512279
10210,961.6785431512279
10211,961.6785431512279
10212,961.6785431512279
10213,961.6785431512279
10214,961.6785431512279
10215,961.6785431512279
10216,961.6785431512279
10217,961.6785431512279
10218,961.6785431512279
10219,961.6785431512279
10220,961.6785431512279
10221,961.6785431512279
10222,961.6785431512279
10223,961.6785431512279
10224,961.6785431512279
10225,961.6785431512279
10226,984.0130266937442
10227,984.0130266937442
10228,984.0130266937442
10229,984.0130266937442
10230,984.0130266937442
10231,984.0130266937442
10232,984.0130266937442
10233,984.0130266937442
10234,984.0130266937442
10235,984.0130266937442
10236,984.0130266937442
10237,984.0130266937442
10238,984.0130266937442
10239,984.0130266937442
10240,984.0130266937442
10241,984.0130266937442
10242,984.0130266937442
10243,984.0130266937442
10244,984.0130266937442
10245,984.0130266937442
10246,984.0130266937442
10247,984.0130266937442
10248,984.0130266937442
10249,984.0130266937442
10250,984.0130266937442
10251,984.0130266937442
10252,984.0130266937442
10253,984.0130266937442
10254,984.0130266937442
10255,984.0130266937442
10256,984.0130266937442
10257,984.0130266937442
10258,984.0130266937442
10259,984.0130266937442
10260,984.0130266937442
10261,984.0130266937442
10262,984.0130266937442
10263,984.0130266937442
10264,984.0130266937442
10265,984.0130266937442
10266,984.0130266937442
10267,984.0130266937442
10268,984.0130266937442
10269,984.0130266937442
10270,984.0130266937442
10271,984.0130266937442
10272,984.0130266937442
10273,984.0130266937442
10274,984.0130266937442
10275,984.0130266937442
10276,984.0130266937442
10277,984.0130266937442
10278,984.0130266937442
10279,984.0130266937442
10280,984.0130266937442
10281,984.0130266937442
10282,984.0130266937442
10283,984.0130266937442
10284,984.0130266937442
10285,984.0130266937442
10286,984.0130266937442
10287,984.0130266937442
10288,984.0130266937442
10289,984.0130266937442
10290,984.0130266937442
10291,984.0130266937442
10292,984.0130266937442
10293,984.0130266937442
10294,984.0130266937442
10295,984.0130266937442
10296,984.0130266937442
10297,984.0130266937442
10298,984.0130266937442
10299,984.0130266937442
10300,984.0130266937442
10301,984.0130266937442
10302,984.0130266937442
10303,984.0130266937442
10304,984.0130266937442
10305,984.0130266937442
10306,984.0130266937442
10307,984.0130266937442
10308,984.0130266937442
10309,984.0130266937442
10310,984.0130266937442
10311,984.0130266937442
10312,984.0130266937442
10313,984.0130266937442
10314,984.0130266937442
10315,984.0130266937442
10316,1032.3203994090072
10317,1032.3203994090072
10318,1032.3203994090072
10319,1032.3203994090072
10320,1032.3203994090072
10321,1032.3203994090072
10322,1032.3203994090072
10323,1032.3203994090072
10324,1032.3203994090072
10325,1032.3203994090072
10326,1032.3203994090072
10327,1032.3203994090072
10328,1032.3203994090072
10329,1032.3203994090072
10330,1032.3203994090072
10331,1032.3203994090072
10332,1032.3203994090072
10333,1032.3203994090072
10334,1032.3203994090072
10335,1032.3203994090072
10336,1032.3203994090072
10337,1032.3203994090072
10338,1032.3203994090072
10339,1032.3203994090072
10340,1032.3203994090072
10341,1032.3203994090072
10342,1032.3203994090072
10343,1032.3203994090072
10344,1032.3203994090072
10345,1032.3203994090072
10346,1032.3203994090072
10347,1032.3203994090072
10348,1032.3203994090072
10349,1032.3203994090072
10350,1032.3203994090072
10351,1032.3203994090072
10352,1032.3203994090072
10353,1032.3203994090072
10354,1032.3203994090072
10355,1032.3203994090072
10356,1032.3203994090072
10357,1032.3203994090072
10358,1032.3203994090072
10359,1032.3203994090072
10360,1032.3203994090072
10361,1032.3203994090072
10362,1032.3203994090072
10363,1032.3203994090072
10364,1032.3203994090072
10365,1032.3203994090072
10366,1032.3203994090072
10367,1032.3203994090072
10368,1032.3203994090072
10369,1032.3203994090072
10370,1032.3203994090072
10371,1032.3203994090072
10372,1032.3203994090072
10373,1032.3203994090072
10374,1032.3203994090072
10375,1032.3203994090072
10376,1032.3203994090072
10377,1032.3203994090072
10378,1032.3203994090072
10379,1032.3203994090072
10380,1032.3203994090072
10381,1032.3203994090072
10382,1032.3203994090072
10383,1032.3203994090072
10384,1032.3203994090072
10385,1032.3203994090072
10386,1032.3203994090072
10387,1032.3203994090072
10388,1032.3203994090072
10389,1032.3203994090072
10390,1032.3203994090072
10391,1032.3203994090072
10392,1032.3203994090072
10393,1032.3203994090072
10394,1032.3203994090072
10395,1032.3203994090072
10396,1032.3203994090072
10397,1032.3203994090072
10398,1032.3203994090072
10399,1032.3203994090072
10400,1032.3203994090072
10401,1032.3203994090072
10402,1032.3203994090072
10403,1032.3203994090072
10404,1032.3203994090072
10405,1032.3203994090072
10406,1032.3203994090072
10407,1044.2442249868184
10408,1044.2442249868184
10409,1044.2442249868184
10410,1044.2442249868184
10411,1044.2442249868184
10412,1044.2442249868184
10413,1044.2442249868184
10414,1044.2442249868184
10415,1044.2442249868184
10416,1044.2442249868184
10417,1044.2442249868184
10418,1044.2442249868184
10419,1044.2442249868184
10420,1044.2442249868184
10421,1044.2442249868184
10422,1044.2442249868184
10423,1044.2442249868184
10424,1044.2442249868184
10425,1044.2442249868184
10426,1044.2442249868184
10427,1044.2442249868184
10428,1044.2442249868184
10429,1044.2442249868184
10430,1044.2442249868184
10431,1044.2442249868184
10432,1044.2442249868184
10433,1044.2442249868184
10434,1044.2442249868184
10435,1044.2442249868184
10436,1044.2442249868184
10437,1044.2442249868184
10438,1044.2442249868184
10439,1044.2442249868184
10440,1044.2442249868184
10441,1044.2442249868184
10442,1044.2442249868184
10443,1044.2442249868184
10444,1044.2442249868184
10445,1044.2442249868184
10446,1044.2442249868184
10447,1044.2442249868184
10448,1044.2442249868184
10449,1044.2442249868184
10450,1044.2442249868184
10451,1044.2442249868184
10452,1044.2442249868184
10453,1044.2442249868184
10454,1044.2442249868184
10455,1044.2442249868184
10456,1044.2442249868184
10457,1044.2442249868184
10458,1044.2442249868184
10459,1044.2442249868184
10460,1044.2442249868184
10461,1044.2442249868184
10462,1044.2442249868184
10463,1044.2442249868184
10464,1044.2442249868184
10465,1044.2442249868184
10466,1044.2442249868184
10467,1044.2442249868184
10468,1044.2442249868184
10469,1044.2442249868184
10470,1044.2442249868184
10471,1044.2442249868184
10472,1044.2442249868184
10473,1044.2442249868184
10474,1044.2442249868184
10475,1044.2442249868184
10476,1044.2442249868184
10477,1044.2442249868184
10478,1044.2442249868184
10479,1044.2442249868184
10480,1044.2442249868184
10481,1044.2442249868184
10482,1044.2442249868184
10483,1044.2442249868184
10484,1044.2442249868184
10485,1044.2442249868184
10486,1044.2442249868184
10487,1044.2442249868184
10488,1044.2442249868184
10489,1044.2442249868184
10490,1044.2442249868184
10491,1044.2442249868184
10492,1044.2442249868184
10493,1044.2442249868184
