,LEI CHNG Index_ratio
10124,790.7218639484086
10125,790.7218639484086
10126,790.7218639484086
10127,790.7218639484086
10128,790.7218639484086
10129,790.7218639484086
10130,790.7218639484086
10131,790.7218639484086
10132,790.7218639484086
10133,790.7218639484086
10134,679.5580110497235
10135,679.5580110497235
10136,679.5580110497235
10137,679.5580110497235
10138,679.5580110497235
10139,679.5580110497235
10140,679.5580110497235
10141,679.5580110497235
10142,679.5580110497235
10143,679.5580110497235
10144,679.5580110497235
10145,679.5580110497235
10146,679.5580110497235
10147,679.5580110497235
10148,679.5580110497235
10149,679.5580110497235
10150,679.5580110497235
10151,679.5580110497235
10152,679.5580110497235
10153,679.5580110497235
10154,679.5580110497235
10155,679.5580110497235
10156,679.5580110497235
10157,679.5580110497235
10158,679.5580110497235
10159,679.5580110497235
10160,679.5580110497235
10161,679.5580110497235
10162,679.5580110497235
10163,679.5580110497235
10164,679.5580110497235
10165,679.5580110497235
10166,679.5580110497235
10167,679.5580110497235
10168,679.5580110497235
10169,679.5580110497235
10170,679.5580110497235
10171,679.5580110497235
10172,679.5580110497235
10173,679.5580110497235
10174,679.5580110497235
10175,679.5580110497235
10176,679.5580110497235
10177,679.5580110497235
10178,679.5580110497235
10179,679.5580110497235
10180,679.5580110497235
10181,679.5580110497235
10182,679.5580110497235
10183,679.5580110497235
10184,679.5580110497235
10185,679.5580110497235
10186,679.5580110497235
10187,679.5580110497235
10188,679.5580110497235
10189,679.5580110497235
10190,679.5580110497235
10191,679.5580110497235
10192,679.5580110497235
10193,679.5580110497235
10194,679.5580110497235
10195,679.5580110497235
10196,679.5580110497235
10197,679.5580110497235
10198,679.5580110497235
10199,679.5580110497235
10200,679.5580110497235
10201,679.5580110497235
10202,679.5580110497235
10203,679.5580110497235
10204,679.5580110497235
10205,679.5580110497235
10206,679.5580110497235
10207,679.5580110497235
10208,679.5580110497235
10209,679.5580110497235
10210,679.5580110497235
10211,679.5580110497235
10212,679.5580110497235
10213,679.5580110497235
10214,679.5580110497235
10215,679.5580110497235
10216,679.5580110497235
10217,679.5580110497235
10218,679.5580110497235
10219,679.5580110497235
10220,679.5580110497235
10221,679.5580110497235
10222,679.5580110497235
10223,679.5580110497235
10224,679.5580110497235
10225,679.5580110497235
10226,116.35049683830182
10227,116.35049683830182
10228,116.35049683830182
10229,116.35049683830182
10230,116.35049683830182
10231,116.35049683830182
10232,116.35049683830182
10233,116.35049683830182
10234,116.35049683830182
10235,116.35049683830182
10236,116.35049683830182
10237,116.35049683830182
10238,116.35049683830182
10239,116.35049683830182
10240,116.35049683830182
10241,116.35049683830182
10242,116.35049683830182
10243,116.35049683830182
10244,116.35049683830182
10245,116.35049683830182
10246,116.35049683830182
10247,116.35049683830182
10248,116.35049683830182
10249,116.35049683830182
10250,116.35049683830182
10251,116.35049683830182
10252,116.35049683830182
10253,116.35049683830182
10254,116.35049683830182
10255,116.35049683830182
10256,116.35049683830182
10257,116.35049683830182
10258,116.35049683830182
10259,116.35049683830182
10260,116.35049683830182
10261,116.35049683830182
10262,116.35049683830182
10263,116.35049683830182
10264,116.35049683830182
10265,116.35049683830182
10266,116.35049683830182
10267,116.35049683830182
10268,116.35049683830182
10269,116.35049683830182
10270,116.35049683830182
10271,116.35049683830182
10272,116.35049683830182
10273,116.35049683830182
10274,116.35049683830182
10275,116.35049683830182
10276,116.35049683830182
10277,116.35049683830182
10278,116.35049683830182
10279,116.35049683830182
10280,116.35049683830182
10281,116.35049683830182
10282,116.35049683830182
10283,116.35049683830182
10284,116.35049683830182
10285,116.35049683830182
10286,116.35049683830182
10287,116.35049683830182
10288,116.35049683830182
10289,116.35049683830182
10290,116.35049683830182
10291,116.35049683830182
10292,116.35049683830182
10293,116.35049683830182
10294,116.35049683830182
10295,116.35049683830182
10296,116.35049683830182
10297,116.35049683830182
10298,116.35049683830182
10299,116.35049683830182
10300,116.35049683830182
10301,116.35049683830182
10302,116.35049683830182
10303,116.35049683830182
10304,116.35049683830182
10305,116.35049683830182
10306,116.35049683830182
10307,116.35049683830182
10308,116.35049683830182
10309,116.35049683830182
10310,116.35049683830182
10311,116.35049683830182
10312,116.35049683830182
10313,116.35049683830182
10314,116.35049683830182
10315,116.35049683830182
10316,26703.29670329669
10317,26703.29670329669
10318,26703.29670329669
10319,26703.29670329669
10320,26703.29670329669
10321,26703.29670329669
10322,26703.29670329669
10323,26703.29670329669
10324,26703.29670329669
10325,26703.29670329669
10326,26703.29670329669
10327,26703.29670329669
10328,26703.29670329669
10329,26703.29670329669
10330,26703.29670329669
10331,26703.29670329669
10332,26703.29670329669
10333,26703.29670329669
10334,26703.29670329669
10335,26703.29670329669
10336,26703.29670329669
10337,26703.29670329669
10338,26703.29670329669
10339,26703.29670329669
10340,26703.29670329669
10341,26703.29670329669
10342,26703.29670329669
10343,26703.29670329669
10344,26703.29670329669
10345,26703.29670329669
10346,26703.29670329669
10347,26703.29670329669
10348,26703.29670329669
10349,26703.29670329669
10350,26703.29670329669
10351,26703.29670329669
10352,26703.29670329669
10353,26703.29670329669
10354,26703.29670329669
10355,26703.29670329669
10356,26703.29670329669
10357,26703.29670329669
10358,26703.29670329669
10359,26703.29670329669
10360,26703.29670329669
10361,26703.29670329669
10362,26703.29670329669
10363,26703.29670329669
10364,26703.29670329669
10365,26703.29670329669
10366,26703.29670329669
10367,26703.29670329669
10368,26703.29670329669
10369,26703.29670329669
10370,26703.29670329669
10371,26703.29670329669
10372,26703.29670329669
10373,26703.29670329669
10374,26703.29670329669
10375,26703.29670329669
10376,26703.29670329669
10377,26703.29670329669
10378,26703.29670329669
10379,26703.29670329669
10380,26703.29670329669
10381,26703.29670329669
10382,26703.29670329669
10383,26703.29670329669
10384,26703.29670329669
10385,26703.29670329669
10386,26703.29670329669
10387,26703.29670329669
10388,26703.29670329669
10389,26703.29670329669
10390,26703.29670329669
10391,26703.29670329669
10392,26703.29670329669
10393,26703.29670329669
10394,26703.29670329669
10395,26703.29670329669
10396,26703.29670329669
10397,26703.29670329669
10398,26703.29670329669
10399,26703.29670329669
10400,26703.29670329669
10401,26703.29670329669
10402,26703.29670329669
10403,26703.29670329669
10404,26703.29670329669
10405,26703.29670329669
10406,26703.29670329669
10407,354.56924315619966
10408,354.56924315619966
10409,354.56924315619966
10410,354.56924315619966
10411,354.56924315619966
10412,354.56924315619966
10413,354.56924315619966
10414,354.56924315619966
10415,354.56924315619966
10416,354.56924315619966
10417,354.56924315619966
10418,354.56924315619966
10419,354.56924315619966
10420,354.56924315619966
10421,354.56924315619966
10422,354.56924315619966
10423,354.56924315619966
10424,354.56924315619966
10425,354.56924315619966
10426,354.56924315619966
10427,354.56924315619966
10428,354.56924315619966
10429,354.56924315619966
10430,354.56924315619966
10431,354.56924315619966
10432,354.56924315619966
10433,354.56924315619966
10434,354.56924315619966
10435,354.56924315619966
10436,354.56924315619966
10437,354.56924315619966
10438,354.56924315619966
10439,354.56924315619966
10440,354.56924315619966
10441,354.56924315619966
10442,354.56924315619966
10443,354.56924315619966
10444,354.56924315619966
10445,354.56924315619966
10446,354.56924315619966
10447,354.56924315619966
10448,354.56924315619966
10449,354.56924315619966
10450,354.56924315619966
10451,354.56924315619966
10452,354.56924315619966
10453,354.56924315619966
10454,354.56924315619966
10455,354.56924315619966
10456,354.56924315619966
10457,354.56924315619966
10458,354.56924315619966
10459,354.56924315619966
10460,354.56924315619966
10461,354.56924315619966
10462,354.56924315619966
10463,354.56924315619966
10464,354.56924315619966
10465,354.56924315619966
10466,354.56924315619966
10467,354.56924315619966
10468,354.56924315619966
10469,354.56924315619966
10470,354.56924315619966
10471,354.56924315619966
10472,354.56924315619966
10473,354.56924315619966
10474,354.56924315619966
10475,354.56924315619966
10476,354.56924315619966
10477,354.56924315619966
10478,354.56924315619966
10479,354.56924315619966
10480,354.56924315619966
10481,354.56924315619966
10482,354.56924315619966
10483,354.56924315619966
10484,354.56924315619966
10485,354.56924315619966
10486,354.56924315619966
10487,354.56924315619966
10488,354.56924315619966
10489,354.56924315619966
10490,354.56924315619966
10491,354.56924315619966
10492,354.56924315619966
10493,354.56924315619966
10494,354.56924315619966
10495,354.56924315619966
10496,354.56924315619966
10497,354.56924315619966
10498,354.56924315619966
10499,-239.8523985239852
10500,-239.8523985239852
10501,-239.8523985239852
10502,-239.8523985239852
10503,-239.8523985239852
10504,-239.8523985239852
10505,-239.8523985239852
10506,-239.8523985239852
10507,-239.8523985239852
10508,-239.8523985239852
10509,-239.8523985239852
10510,-239.8523985239852
10511,-239.8523985239852
10512,-239.8523985239852
10513,-239.8523985239852
10514,-239.8523985239852
10515,-239.8523985239852
10516,-239.8523985239852
10517,-239.8523985239852
10518,-239.8523985239852
10519,-239.8523985239852
10520,-239.8523985239852
10521,-239.8523985239852
10522,-239.8523985239852
10523,-239.8523985239852
10524,-239.8523985239852
10525,-239.8523985239852
10526,-239.8523985239852
10527,-239.8523985239852
10528,-239.8523985239852
10529,-239.8523985239852
10530,-239.8523985239852
10531,-239.8523985239852
10532,-239.8523985239852
10533,-239.8523985239852
10534,-239.8523985239852
10535,-239.8523985239852
10536,-239.8523985239852
10537,-239.8523985239852
10538,-239.8523985239852
10539,-239.8523985239852
10540,-239.8523985239852
10541,-239.8523985239852
10542,-239.8523985239852
10543,-239.8523985239852
10544,-239.8523985239852
10545,-239.8523985239852
10546,-239.8523985239852
10547,-239.8523985239852
10548,-239.8523985239852
10549,-239.8523985239852
10550,-239.8523985239852
10551,-239.8523985239852
10552,-239.8523985239852
10553,-239.8523985239852
10554,-239.8523985239852
10555,-239.8523985239852
10556,-239.8523985239852
10557,-239.8523985239852
10558,-239.8523985239852
10559,-239.8523985239852
10560,-239.8523985239852
10561,-239.8523985239852
10562,-239.8523985239852
10563,-239.8523985239852
10564,-239.8523985239852
10565,-239.8523985239852
10566,-239.8523985239852
10567,-239.8523985239852
10568,-239.8523985239852
10569,-239.8523985239852
10570,-239.8523985239852
10571,-239.8523985239852
10572,-239.8523985239852
10573,-239.8523985239852
10574,-239.8523985239852
10575,-239.8523985239852
10576,-239.8523985239852
10577,-239.8523985239852
10578,-239.8523985239852
10579,-239.8523985239852
10580,-239.8523985239852
10581,-239.8523985239852
10582,-239.8523985239852
10583,-239.8523985239852
10584,-239.8523985239852
10585,-239.8523985239852
10586,-239.8523985239852
10587,-239.8523985239852
10588,-239.8523985239852
10589,-239.8523985239852
10590,-239.8523985239852
10591,3035.213675213676
10592,3035.213675213676
10593,3035.213675213676
10594,3035.213675213676
10595,3035.213675213676
10596,3035.213675213676
10597,3035.213675213676
10598,3035.213675213676
10599,3035.213675213676
10600,3035.213675213676
10601,3035.213675213676
10602,3035.213675213676
10603,3035.213675213676
10604,3035.213675213676
10605,3035.213675213676
10606,3035.213675213676
10607,3035.213675213676
10608,3035.213675213676
10609,3035.213675213676
10610,3035.213675213676
10611,3035.213675213676
10612,3035.213675213676
10613,3035.213675213676
10614,3035.213675213676
10615,3035.213675213676
10616,3035.213675213676
10617,3035.213675213676
10618,3035.213675213676
10619,3035.213675213676
10620,3035.213675213676
10621,3035.213675213676
10622,3035.213675213676
10623,3035.213675213676
10624,3035.213675213676
10625,3035.213675213676
10626,3035.213675213676
10627,3035.213675213676
10628,3035.213675213676
10629,3035.213675213676
10630,3035.213675213676
10631,3035.213675213676
10632,3035.213675213676
10633,3035.213675213676
10634,3035.213675213676
10635,3035.213675213676
10636,3035.213675213676
10637,3035.213675213676
10638,3035.213675213676
10639,3035.213675213676
10640,3035.213675213676
10641,3035.213675213676
10642,3035.213675213676
10643,3035.213675213676
10644,3035.213675213676
10645,3035.213675213676
10646,3035.213675213676
10647,3035.213675213676
10648,3035.213675213676
10649,3035.213675213676
10650,3035.213675213676
10651,3035.213675213676
10652,3035.213675213676
10653,3035.213675213676
10654,3035.213675213676
10655,3035.213675213676
10656,3035.213675213676
10657,3035.213675213676
10658,3035.213675213676
10659,3035.213675213676
10660,3035.213675213676
10661,3035.213675213676
10662,3035.213675213676
10663,3035.213675213676
10664,3035.213675213676
10665,3035.213675213676
10666,3035.213675213676
10667,3035.213675213676
10668,3035.213675213676
10669,3035.213675213676
10670,3035.213675213676
10671,3035.213675213676
10672,3035.213675213676
10673,3035.213675213676
10674,3035.213675213676
10675,3035.213675213676
10676,3035.213675213676
10677,3035.213675213676
10678,3035.213675213676
10679,3035.213675213676
10680,3035.213675213676
10681,620.0535216079255
10682,620.0535216079255
10683,620.0535216079255
10684,620.0535216079255
10685,620.0535216079255
10686,620.0535216079255
10687,620.0535216079255
10688,620.0535216079255
10689,620.0535216079255
10690,620.0535216079255
10691,620.0535216079255
10692,620.0535216079255
10693,620.0535216079255
10694,620.0535216079255
10695,620.0535216079255
10696,620.0535216079255
10697,620.0535216079255
10698,620.0535216079255
10699,620.0535216079255
10700,620.0535216079255
10701,620.0535216079255
10702,620.0535216079255
10703,620.0535216079255
10704,620.0535216079255
10705,620.0535216079255
10706,620.0535216079255
10707,620.0535216079255
10708,620.0535216079255
10709,620.0535216079255
10710,620.0535216079255
10711,620.0535216079255
10712,620.0535216079255
10713,620.0535216079255
10714,620.0535216079255
10715,620.0535216079255
10716,620.0535216079255
10717,620.0535216079255
10718,620.0535216079255
10719,620.0535216079255
10720,620.0535216079255
10721,620.0535216079255
10722,620.0535216079255
10723,620.0535216079255
10724,620.0535216079255
10725,620.0535216079255
10726,620.0535216079255
10727,620.0535216079255
10728,620.0535216079255
10729,620.0535216079255
10730,620.0535216079255
10731,620.0535216079255
10732,620.0535216079255
10733,620.0535216079255
10734,620.0535216079255
10735,620.0535216079255
10736,620.0535216079255
10737,620.0535216079255
10738,620.0535216079255
10739,620.0535216079255
10740,620.0535216079255
10741,620.0535216079255
10742,620.0535216079255
10743,620.0535216079255
10744,620.0535216079255
10745,620.0535216079255
10746,620.0535216079255
10747,620.0535216079255
10748,620.0535216079255
10749,620.0535216079255
10750,620.0535216079255
10751,620.0535216079255
10752,620.0535216079255
10753,620.0535216079255
10754,620.0535216079255
10755,620.0535216079255
10756,620.0535216079255
10757,620.0535216079255
10758,620.0535216079255
10759,620.0535216079255
10760,620.0535216079255
10761,620.0535216079255
10762,620.0535216079255
10763,620.0535216079255
10764,620.0535216079255
10765,620.0535216079255
10766,620.0535216079255
10767,620.0535216079255
10768,620.0535216079255
10769,620.0535216079255
10770,620.0535216079255
10771,620.0535216079255
10772,4528.745957599715
10773,4528.745957599715
10774,4528.745957599715
10775,4528.745957599715
10776,4528.745957599715
10777,4528.745957599715
10778,4528.745957599715
10779,4528.745957599715
10780,4528.745957599715
10781,4528.745957599715
10782,4528.745957599715
10783,4528.745957599715
10784,4528.745957599715
10785,4528.745957599715
10786,4528.745957599715
10787,4528.745957599715
10788,4528.745957599715
10789,4528.745957599715
10790,4528.745957599715
10791,4528.745957599715
10792,4528.745957599715
10793,4528.745957599715
10794,4528.745957599715
10795,4528.745957599715
10796,4528.745957599715
10797,4528.745957599715
10798,4528.745957599715
10799,4528.745957599715
10800,4528.745957599715
10801,4528.745957599715
10802,4528.745957599715
10803,4528.745957599715
10804,4528.745957599715
10805,4528.745957599715
10806,4528.745957599715
10807,4528.745957599715
10808,4528.745957599715
10809,4528.745957599715
10810,4528.745957599715
10811,4528.745957599715
10812,4528.745957599715
10813,4528.745957599715
10814,4528.745957599715
10815,4528.745957599715
10816,4528.745957599715
10817,4528.745957599715
10818,4528.745957599715
10819,4528.745957599715
10820,4528.745957599715
10821,4528.745957599715
10822,4528.745957599715
10823,4528.745957599715
10824,4528.745957599715
10825,4528.745957599715
10826,4528.745957599715
10827,4528.745957599715
10828,4528.745957599715
10829,4528.745957599715
10830,4528.745957599715
10831,4528.745957599715
10832,4528.745957599715
10833,4528.745957599715
10834,4528.745957599715
10835,4528.745957599715
10836,4528.745957599715
10837,4528.745957599715
10838,4528.745957599715
10839,4528.745957599715
10840,4528.745957599715
10841,4528.745957599715
10842,4528.745957599715
10843,4528.745957599715
10844,4528.745957599715
10845,4528.745957599715
10846,4528.745957599715
10847,4528.745957599715
10848,4528.745957599715
10849,4528.745957599715
10850,4528.745957599715
10851,4528.745957599715
10852,4528.745957599715
10853,4528.745957599715
10854,4528.745957599715
10855,4528.745957599715
10856,4528.745957599715
10857,4528.745957599715
10858,4528.745957599715
10859,4528.745957599715
10860,4528.745957599715
10861,4528.745957599715
10862,4528.745957599715
10863,4528.745957599715
