,PCE DEFM Index_ratio
10117,1005.5816686251466
10118,1005.5816686251466
10119,1005.5816686251466
10120,1005.5816686251466
10121,1005.5816686251466
10122,1005.5816686251466
10123,1005.5816686251466
10124,1005.5816686251466
10125,1005.5816686251466
10126,1005.5816686251466
10127,1005.5816686251466
10128,1005.5816686251466
10129,1005.5816686251466
10130,1005.5816686251466
10131,1005.5816686251466
10132,1005.5816686251466
10133,1005.5816686251466
10134,942.7402862985687
10135,942.7402862985687
10136,942.7402862985687
10137,942.7402862985687
10138,942.7402862985687
10139,942.7402862985687
10140,942.7402862985687
10141,942.7402862985687
10142,942.7402862985687
10143,942.7402862985687
10144,942.7402862985687
10145,942.7402862985687
10146,942.7402862985687
10147,942.7402862985687
10148,942.7402862985687
10149,942.7402862985687
10150,942.7402862985687
10151,942.7402862985687
10152,942.7402862985687
10153,942.7402862985687
10154,942.7402862985687
10155,942.7402862985687
10156,942.7402862985687
10157,942.7402862985687
10158,942.7402862985687
10159,942.7402862985687
10160,942.7402862985687
10161,942.7402862985687
10162,942.7402862985687
10163,942.7402862985687
10164,942.7402862985687
10165,942.7402862985687
10166,942.7402862985687
10167,942.7402862985687
10168,942.7402862985687
10169,942.7402862985687
10170,942.7402862985687
10171,942.7402862985687
10172,942.7402862985687
10173,942.7402862985687
10174,942.7402862985687
10175,942.7402862985687
10176,942.7402862985687
10177,942.7402862985687
10178,942.7402862985687
10179,942.7402862985687
10180,942.7402862985687
10181,942.7402862985687
10182,942.7402862985687
10183,942.7402862985687
10184,942.7402862985687
10185,942.7402862985687
10186,942.7402862985687
10187,942.7402862985687
10188,942.7402862985687
10189,942.7402862985687
10190,942.7402862985687
10191,942.7402862985687
10192,942.7402862985687
10193,942.7402862985687
10194,942.7402862985687
10195,942.7402862985687
10196,942.7402862985687
10197,942.7402862985687
10198,942.7402862985687
10199,942.7402862985687
10200,942.7402862985687
10201,942.7402862985687
10202,942.7402862985687
10203,942.7402862985687
10204,942.7402862985687
10205,942.7402862985687
10206,942.7402862985687
10207,942.7402862985687
10208,942.7402862985687
10209,942.7402862985687
10210,942.7402862985687
10211,942.7402862985687
10212,942.7402862985687
10213,942.7402862985687
10214,942.7402862985687
10215,942.7402862985687
10216,942.7402862985687
10217,942.7402862985687
10218,942.7402862985687
10219,942.7402862985687
10220,942.7402862985687
10221,942.7402862985687
10222,942.7402862985687
10223,942.7402862985687
10224,942.7402862985687
10225,942.7402862985687
10226,1064.3528561099063
10227,1064.3528561099063
10228,1064.3528561099063
10229,1064.3528561099063
10230,1064.3528561099063
10231,1064.3528561099063
10232,1064.3528561099063
10233,1064.3528561099063
10234,1064.3528561099063
10235,1064.3528561099063
10236,1064.3528561099063
10237,1064.3528561099063
10238,1064.3528561099063
10239,1064.3528561099063
10240,1064.3528561099063
10241,1064.3528561099063
10242,1064.3528561099063
10243,1064.3528561099063
10244,1064.3528561099063
10245,1064.3528561099063
10246,1064.3528561099063
10247,1064.3528561099063
10248,1064.3528561099063
10249,1064.3528561099063
10250,1064.3528561099063
10251,1064.3528561099063
10252,1064.3528561099063
10253,1064.3528561099063
10254,1064.3528561099063
10255,1064.3528561099063
10256,1064.3528561099063
10257,1064.3528561099063
10258,1064.3528561099063
10259,1064.3528561099063
10260,1064.3528561099063
10261,1064.3528561099063
10262,1064.3528561099063
10263,1064.3528561099063
10264,1064.3528561099063
10265,1064.3528561099063
10266,1064.3528561099063
10267,1064.3528561099063
10268,1064.3528561099063
10269,1064.3528561099063
10270,1064.3528561099063
10271,1064.3528561099063
10272,1064.3528561099063
10273,1064.3528561099063
10274,1064.3528561099063
10275,1064.3528561099063
10276,1064.3528561099063
10277,1064.3528561099063
10278,1064.3528561099063
10279,1064.3528561099063
10280,1064.3528561099063
10281,1064.3528561099063
10282,1064.3528561099063
10283,1064.3528561099063
10284,1064.3528561099063
10285,1064.3528561099063
10286,1064.3528561099063
10287,1064.3528561099063
10288,1064.3528561099063
10289,1064.3528561099063
10290,1064.3528561099063
10291,1064.3528561099063
10292,1064.3528561099063
10293,1064.3528561099063
10294,1064.3528561099063
10295,1064.3528561099063
10296,1064.3528561099063
10297,1064.3528561099063
10298,1064.3528561099063
10299,1064.3528561099063
10300,1064.3528561099063
10301,1064.3528561099063
10302,1064.3528561099063
10303,1064.3528561099063
10304,1064.3528561099063
10305,1064.3528561099063
10306,1064.3528561099063
10307,1064.3528561099063
10308,1064.3528561099063
10309,1064.3528561099063
10310,1064.3528561099063
10311,1064.3528561099063
10312,1064.3528561099063
10313,1064.3528561099063
10314,1064.3528561099063
10315,1064.3528561099063
10316,1376.373626373626
10317,1376.373626373626
10318,1376.373626373626
10319,1376.373626373626
10320,1376.373626373626
10321,1376.373626373626
10322,1376.373626373626
10323,1376.373626373626
10324,1376.373626373626
10325,1376.373626373626
10326,1376.373626373626
10327,1376.373626373626
10328,1376.373626373626
10329,1376.373626373626
10330,1376.373626373626
10331,1376.373626373626
10332,1376.373626373626
10333,1376.373626373626
10334,1376.373626373626
10335,1376.373626373626
10336,1376.373626373626
10337,1376.373626373626
10338,1376.373626373626
10339,1376.373626373626
10340,1376.373626373626
10341,1376.373626373626
10342,1376.373626373626
10343,1376.373626373626
10344,1376.373626373626
10345,1376.373626373626
10346,1376.373626373626
10347,1376.373626373626
10348,1376.373626373626
10349,1376.373626373626
10350,1376.373626373626
10351,1376.373626373626
10352,1376.373626373626
10353,1376.373626373626
10354,1376.373626373626
10355,1376.373626373626
10356,1376.373626373626
10357,1376.373626373626
10358,1376.373626373626
10359,1376.373626373626
10360,1376.373626373626
10361,1376.373626373626
10362,1376.373626373626
10363,1376.373626373626
10364,1376.373626373626
10365,1376.373626373626
10366,1376.373626373626
10367,1376.373626373626
10368,1376.373626373626
10369,1376.373626373626
10370,1376.373626373626
10371,1376.373626373626
10372,1376.373626373626
10373,1376.373626373626
10374,1376.373626373626
10375,1376.373626373626
10376,1376.373626373626
10377,1376.373626373626
10378,1376.373626373626
10379,1376.373626373626
10380,1376.373626373626
10381,1376.373626373626
10382,1376.373626373626
10383,1376.373626373626
10384,1376.373626373626
10385,1376.373626373626
10386,1376.373626373626
10387,1376.373626373626
10388,1376.373626373626
10389,1376.373626373626
10390,1376.373626373626
10391,1376.373626373626
10392,1376.373626373626
10393,1376.373626373626
10394,1376.373626373626
10395,1376.373626373626
10396,1376.373626373626
10397,1376.373626373626
10398,1376.373626373626
10399,1376.373626373626
10400,1376.373626373626
10401,1376.373626373626
10402,1376.373626373626
10403,1376.373626373626
10404,1376.373626373626
10405,1376.373626373626
10406,1376.373626373626
10407,771.4625097630826
10408,771.4625097630826
10409,771.4625097630826
10410,771.4625097630826
10411,771.4625097630826
10412,771.4625097630826
10413,771.4625097630826
10414,771.4625097630826
10415,771.4625097630826
10416,771.4625097630826
10417,771.4625097630826
10418,771.4625097630826
10419,771.4625097630826
10420,771.4625097630826
10421,771.4625097630826
10422,771.4625097630826
10423,771.4625097630826
10424,771.4625097630826
10425,771.4625097630826
10426,771.4625097630826
10427,771.4625097630826
10428,771.4625097630826
10429,771.4625097630826
10430,771.4625097630826
10431,771.4625097630826
10432,771.4625097630826
10433,771.4625097630826
10434,771.4625097630826
10435,771.4625097630826
10436,771.4625097630826
10437,771.4625097630826
10438,771.4625097630826
10439,771.4625097630826
10440,771.4625097630826
10441,771.4625097630826
10442,771.4625097630826
10443,771.4625097630826
10444,771.4625097630826
10445,771.4625097630826
10446,771.4625097630826
10447,771.4625097630826
10448,771.4625097630826
10449,771.4625097630826
10450,771.4625097630826
10451,771.4625097630826
10452,771.4625097630826
10453,771.4625097630826
10454,771.4625097630826
10455,771.4625097630826
10456,771.4625097630826
10457,771.4625097630826
10458,771.4625097630826
10459,771.4625097630826
10460,771.4625097630826
10461,771.4625097630826
10462,771.4625097630826
10463,771.4625097630826
10464,771.4625097630826
10465,771.4625097630826
10466,771.4625097630826
10467,771.4625097630826
10468,771.4625097630826
10469,771.4625097630826
