,DGNOXTCH Index_ratio
10117,1376.3285024154584
10118,1376.3285024154584
10119,1376.3285024154584
10120,1376.3285024154584
10121,1376.3285024154584
10122,1376.3285024154584
10123,1376.3285024154584
10124,1376.3285024154584
10125,1376.3285024154584
10126,1376.3285024154584
10127,1376.3285024154584
10128,1376.3285024154584
10129,1376.3285024154584
10130,1376.3285024154584
10131,1376.3285024154584
10132,1376.3285024154584
10133,1376.3285024154584
10134,539.3120393120395
10135,539.3120393120395
10136,539.3120393120395
10137,539.3120393120395
10138,539.3120393120395
10139,539.3120393120395
10140,539.3120393120395
10141,539.3120393120395
10142,539.3120393120395
10143,539.3120393120395
10144,539.3120393120395
10145,539.3120393120395
10146,539.3120393120395
10147,539.3120393120395
10148,539.3120393120395
10149,539.3120393120395
10150,539.3120393120395
10151,539.3120393120395
10152,539.3120393120395
10153,539.3120393120395
10154,539.3120393120395
10155,539.3120393120395
10156,539.3120393120395
10157,539.3120393120395
10158,539.3120393120395
10159,539.3120393120395
10160,539.3120393120395
10161,539.3120393120395
10162,539.3120393120395
10163,539.3120393120395
10164,539.3120393120395
10165,539.3120393120395
10166,539.3120393120395
10167,539.3120393120395
10168,539.3120393120395
10169,539.3120393120395
10170,539.3120393120395
10171,539.3120393120395
10172,539.3120393120395
10173,539.3120393120395
10174,539.3120393120395
10175,539.3120393120395
10176,539.3120393120395
10177,539.3120393120395
10178,539.3120393120395
10179,539.3120393120395
10180,539.3120393120395
10181,539.3120393120395
10182,539.3120393120395
10183,539.3120393120395
10184,539.3120393120395
10185,539.3120393120395
10186,539.3120393120395
10187,539.3120393120395
10188,539.3120393120395
10189,539.3120393120395
10190,539.3120393120395
10191,539.3120393120395
10192,539.3120393120395
10193,539.3120393120395
10194,539.3120393120395
10195,539.3120393120395
10196,539.3120393120395
10197,539.3120393120395
10198,539.3120393120395
10199,539.3120393120395
10200,539.3120393120395
10201,539.3120393120395
10202,539.3120393120395
10203,539.3120393120395
10204,539.3120393120395
10205,539.3120393120395
10206,539.3120393120395
10207,539.3120393120395
10208,539.3120393120395
10209,539.3120393120395
10210,539.3120393120395
10211,539.3120393120395
10212,539.3120393120395
10213,539.3120393120395
10214,539.3120393120395
10215,539.3120393120395
10216,539.3120393120395
10217,539.3120393120395
10218,539.3120393120395
10219,539.3120393120395
10220,539.3120393120395
10221,539.3120393120395
10222,539.3120393120395
10223,539.3120393120395
10224,539.3120393120395
10225,539.3120393120395
10226,325.99341938749683
10227,325.99341938749683
10228,325.99341938749683
10229,325.99341938749683
10230,325.99341938749683
10231,325.99341938749683
10232,325.99341938749683
10233,325.99341938749683
10234,325.99341938749683
10235,325.99341938749683
10236,325.99341938749683
10237,325.99341938749683
10238,325.99341938749683
10239,325.99341938749683
10240,325.99341938749683
10241,325.99341938749683
10242,325.99341938749683
10243,325.99341938749683
10244,325.99341938749683
10245,325.99341938749683
10246,325.99341938749683
10247,325.99341938749683
10248,325.99341938749683
10249,325.99341938749683
10250,325.99341938749683
10251,325.99341938749683
10252,325.99341938749683
10253,325.99341938749683
10254,325.99341938749683
10255,325.99341938749683
10256,325.99341938749683
10257,325.99341938749683
10258,325.99341938749683
10259,325.99341938749683
10260,325.99341938749683
10261,325.99341938749683
10262,325.99341938749683
10263,325.99341938749683
10264,325.99341938749683
10265,325.99341938749683
10266,325.99341938749683
10267,325.99341938749683
10268,325.99341938749683
10269,325.99341938749683
10270,325.99341938749683
10271,325.99341938749683
10272,325.99341938749683
10273,325.99341938749683
10274,325.99341938749683
10275,325.99341938749683
10276,325.99341938749683
10277,325.99341938749683
10278,325.99341938749683
10279,325.99341938749683
10280,325.99341938749683
10281,325.99341938749683
10282,325.99341938749683
10283,325.99341938749683
10284,325.99341938749683
10285,325.99341938749683
10286,325.99341938749683
10287,325.99341938749683
10288,325.99341938749683
10289,325.99341938749683
10290,325.99341938749683
10291,325.99341938749683
10292,325.99341938749683
10293,325.99341938749683
10294,325.99341938749683
10295,325.99341938749683
10296,325.99341938749683
10297,325.99341938749683
10298,325.99341938749683
10299,325.99341938749683
10300,325.99341938749683
10301,325.99341938749683
10302,325.99341938749683
10303,325.99341938749683
10304,325.99341938749683
10305,325.99341938749683
10306,325.99341938749683
10307,325.99341938749683
10308,325.99341938749683
10309,325.99341938749683
10310,325.99341938749683
10311,325.99341938749683
10312,325.99341938749683
10313,325.99341938749683
10314,325.99341938749683
10315,325.99341938749683
10316,10896.781789638933
10317,10896.781789638933
10318,10896.781789638933
10319,10896.781789638933
10320,10896.781789638933
10321,10896.781789638933
10322,10896.781789638933
10323,10896.781789638933
10324,10896.781789638933
10325,10896.781789638933
10326,10896.781789638933
10327,10896.781789638933
10328,10896.781789638933
10329,10896.781789638933
10330,10896.781789638933
10331,10896.781789638933
10332,10896.781789638933
10333,10896.781789638933
10334,10896.781789638933
10335,10896.781789638933
10336,10896.781789638933
10337,10896.781789638933
10338,10896.781789638933
10339,10896.781789638933
10340,10896.781789638933
10341,10896.781789638933
10342,10896.781789638933
10343,10896.781789638933
10344,10896.781789638933
10345,10896.781789638933
10346,10896.781789638933
10347,10896.781789638933
10348,10896.781789638933
10349,10896.781789638933
10350,10896.781789638933
10351,10896.781789638933
10352,10896.781789638933
10353,10896.781789638933
10354,10896.781789638933
10355,10896.781789638933
10356,10896.781789638933
10357,10896.781789638933
10358,10896.781789638933
10359,10896.781789638933
10360,10896.781789638933
10361,10896.781789638933
10362,10896.781789638933
10363,10896.781789638933
10364,10896.781789638933
10365,10896.781789638933
10366,10896.781789638933
10367,10896.781789638933
10368,10896.781789638933
10369,10896.781789638933
10370,10896.781789638933
10371,10896.781789638933
10372,10896.781789638933
10373,10896.781789638933
10374,10896.781789638933
10375,10896.781789638933
10376,10896.781789638933
10377,10896.781789638933
10378,10896.781789638933
10379,10896.781789638933
10380,10896.781789638933
10381,10896.781789638933
10382,10896.781789638933
10383,10896.781789638933
10384,10896.781789638933
10385,10896.781789638933
10386,10896.781789638933
10387,10896.781789638933
10388,10896.781789638933
10389,10896.781789638933
10390,10896.781789638933
10391,10896.781789638933
10392,10896.781789638933
10393,10896.781789638933
10394,10896.781789638933
10395,10896.781789638933
10396,10896.781789638933
10397,10896.781789638933
10398,10896.781789638933
10399,10896.781789638933
10400,10896.781789638933
10401,10896.781789638933
10402,10896.781789638933
10403,10896.781789638933
10404,10896.781789638933
10405,10896.781789638933
10406,10896.781789638933
10407,290.4869283348601
10408,290.4869283348601
10409,290.4869283348601
10410,290.4869283348601
10411,290.4869283348601
10412,290.4869283348601
10413,290.4869283348601
10414,290.4869283348601
10415,290.4869283348601
10416,290.4869283348601
10417,290.4869283348601
10418,290.4869283348601
10419,290.4869283348601
10420,290.4869283348601
10421,290.4869283348601
10422,290.4869283348601
10423,290.4869283348601
10424,290.4869283348601
10425,290.4869283348601
10426,290.4869283348601
10427,290.4869283348601
10428,290.4869283348601
10429,290.4869283348601
10430,290.4869283348601
10431,290.4869283348601
10432,290.4869283348601
10433,290.4869283348601
10434,290.4869283348601
10435,290.4869283348601
10436,290.4869283348601
10437,290.4869283348601
10438,290.4869283348601
10439,290.4869283348601
10440,290.4869283348601
10441,290.4869283348601
10442,290.4869283348601
