,OUTFGAF Index_ratio
10124,675.5560640732263
10125,675.5560640732263
10126,675.5560640732263
10127,675.5560640732263
10128,675.5560640732263
10129,675.5560640732263
10130,675.5560640732263
10131,675.5560640732263
10132,675.5560640732263
10133,675.5560640732263
10134,667.6151183193438
10135,667.6151183193438
10136,667.6151183193438
10137,667.6151183193438
10138,667.6151183193438
10139,667.6151183193438
10140,667.6151183193438
10141,667.6151183193438
10142,667.6151183193438
10143,667.6151183193438
10144,667.6151183193438
10145,667.6151183193438
10146,667.6151183193438
10147,667.6151183193438
10148,667.6151183193438
10149,667.6151183193438
10150,667.6151183193438
10151,667.6151183193438
10152,667.6151183193438
10153,667.6151183193438
10154,667.6151183193438
10155,667.6151183193438
10156,667.6151183193438
10157,667.6151183193438
10158,667.6151183193438
10159,667.6151183193438
10160,667.6151183193438
10161,667.6151183193438
10162,667.6151183193438
10163,667.6151183193438
10164,667.6151183193438
10165,667.6151183193438
10166,667.6151183193438
10167,667.6151183193438
10168,667.6151183193438
10169,667.6151183193438
10170,667.6151183193438
10171,667.6151183193438
10172,667.6151183193438
10173,667.6151183193438
10174,667.6151183193438
10175,667.6151183193438
10176,667.6151183193438
10177,667.6151183193438
10178,667.6151183193438
10179,667.6151183193438
10180,667.6151183193438
10181,667.6151183193438
10182,667.6151183193438
10183,667.6151183193438
10184,667.6151183193438
10185,667.6151183193438
10186,667.6151183193438
10187,667.6151183193438
10188,667.6151183193438
10189,667.6151183193438
10190,667.6151183193438
10191,667.6151183193438
10192,667.6151183193438
10193,667.6151183193438
10194,667.6151183193438
10195,667.6151183193438
10196,667.6151183193438
10197,667.6151183193438
10198,667.6151183193438
10199,667.6151183193438
10200,667.6151183193438
10201,667.6151183193438
10202,667.6151183193438
10203,667.6151183193438
10204,667.6151183193438
10205,667.6151183193438
10206,667.6151183193438
10207,667.6151183193438
10208,667.6151183193438
10209,667.6151183193438
10210,667.6151183193438
10211,667.6151183193438
10212,667.6151183193438
10213,667.6151183193438
10214,667.6151183193438
10215,667.6151183193438
10216,667.6151183193438
10217,667.6151183193438
10218,667.6151183193438
10219,667.6151183193438
10220,667.6151183193438
10221,667.6151183193438
10222,667.6151183193438
10223,667.6151183193438
10224,667.6151183193438
10225,667.6151183193438
10226,1346.2139508452906
10227,1346.2139508452906
10228,1346.2139508452906
10229,1346.2139508452906
10230,1346.2139508452906
10231,1346.2139508452906
