,PCE CRCH Index_ratio
10124,964.0831758034028
10125,964.0831758034028
10126,964.0831758034028
10127,964.0831758034028
10128,964.0831758034028
10129,964.0831758034028
10130,964.0831758034028
10131,964.0831758034028
10132,964.0831758034028
10133,964.0831758034028
10134,1439.7058823529405
10135,1439.7058823529405
10136,1439.7058823529405
10137,1439.7058823529405
10138,1439.7058823529405
10139,1439.7058823529405
10140,1439.7058823529405
10141,1439.7058823529405
10142,1439.7058823529405
10143,1439.7058823529405
10144,1439.7058823529405
10145,1439.7058823529405
10146,1439.7058823529405
10147,1439.7058823529405
10148,1439.7058823529405
10149,1439.7058823529405
10150,1439.7058823529405
10151,1439.7058823529405
10152,1439.7058823529405
10153,1439.7058823529405
10154,1439.7058823529405
10155,1439.7058823529405
10156,1439.7058823529405
10157,1439.7058823529405
10158,1439.7058823529405
10159,1439.7058823529405
10160,1439.7058823529405
10161,1439.7058823529405
10162,1439.7058823529405
10163,1439.7058823529405
10164,1439.7058823529405
10165,1439.7058823529405
10166,1439.7058823529405
10167,1439.7058823529405
10168,1439.7058823529405
10169,1439.7058823529405
10170,1439.7058823529405
10171,1439.7058823529405
10172,1439.7058823529405
10173,1439.7058823529405
10174,1439.7058823529405
10175,1439.7058823529405
10176,1439.7058823529405
10177,1439.7058823529405
10178,1439.7058823529405
10179,1439.7058823529405
10180,1439.7058823529405
10181,1439.7058823529405
10182,1439.7058823529405
10183,1439.7058823529405
10184,1439.7058823529405
10185,1439.7058823529405
10186,1439.7058823529405
10187,1439.7058823529405
10188,1439.7058823529405
10189,1439.7058823529405
10190,1439.7058823529405
10191,1439.7058823529405
10192,1439.7058823529405
10193,1439.7058823529405
10194,1439.7058823529405
10195,1439.7058823529405
10196,1439.7058823529405
10197,1439.7058823529405
10198,1439.7058823529405
10199,1439.7058823529405
10200,1439.7058823529405
10201,1439.7058823529405
10202,1439.7058823529405
10203,1439.7058823529405
10204,1439.7058823529405
10205,1439.7058823529405
10206,1439.7058823529405
10207,1439.7058823529405
10208,1439.7058823529405
10209,1439.7058823529405
10210,1439.7058823529405
10211,1439.7058823529405
10212,1439.7058823529405
10213,1439.7058823529405
10214,1439.7058823529405
10215,1439.7058823529405
10216,1439.7058823529405
10217,1439.7058823529405
10218,1439.7058823529405
10219,1439.7058823529405
10220,1439.7058823529405
10221,1439.7058823529405
10222,1439.7058823529405
10223,1439.7058823529405
10224,1439.7058823529405
10225,1439.7058823529405
10226,705.844966519124
10227,705.844966519124
10228,705.844966519124
10229,705.844966519124
10230,705.844966519124
10231,705.844966519124
10232,705.844966519124
10233,705.844966519124
10234,705.844966519124
10235,705.844966519124
10236,705.844966519124
10237,705.844966519124
10238,705.844966519124
10239,705.844966519124
10240,705.844966519124
10241,705.844966519124
10242,705.844966519124
10243,705.844966519124
10244,705.844966519124
10245,705.844966519124
10246,705.844966519124
10247,705.844966519124
10248,705.844966519124
10249,705.844966519124
10250,705.844966519124
10251,705.844966519124
10252,705.844966519124
10253,705.844966519124
10254,705.844966519124
10255,705.844966519124
10256,705.844966519124
10257,705.844966519124
10258,705.844966519124
10259,705.844966519124
10260,705.844966519124
10261,705.844966519124
10262,705.844966519124
10263,705.844966519124
10264,705.844966519124
10265,705.844966519124
10266,705.844966519124
10267,705.844966519124
10268,705.844966519124
10269,705.844966519124
10270,705.844966519124
10271,705.844966519124
10272,705.844966519124
10273,705.844966519124
10274,705.844966519124
10275,705.844966519124
10276,705.844966519124
10277,705.844966519124
10278,705.844966519124
10279,705.844966519124
10280,705.844966519124
10281,705.844966519124
10282,705.844966519124
10283,705.844966519124
10284,705.844966519124
10285,705.844966519124
10286,705.844966519124
10287,705.844966519124
10288,705.844966519124
10289,705.844966519124
10290,705.844966519124
10291,705.844966519124
10292,705.844966519124
10293,705.844966519124
10294,705.844966519124
10295,705.844966519124
10296,705.844966519124
10297,705.844966519124
10298,705.844966519124
10299,705.844966519124
10300,705.844966519124
10301,705.844966519124
10302,705.844966519124
10303,705.844966519124
10304,705.844966519124
10305,705.844966519124
10306,705.844966519124
10307,705.844966519124
10308,705.844966519124
10309,705.844966519124
10310,705.844966519124
10311,705.844966519124
10312,705.844966519124
10313,705.844966519124
10314,705.844966519124
10315,705.844966519124
10316,1853.6640873918977
10317,1853.6640873918977
10318,1853.6640873918977
10319,1853.6640873918977
10320,1853.6640873918977
10321,1853.6640873918977
10322,1853.6640873918977
10323,1853.6640873918977
10324,1853.6640873918977
10325,1853.6640873918977
10326,1853.6640873918977
10327,1853.6640873918977
10328,1853.6640873918977
10329,1853.6640873918977
10330,1853.6640873918977
10331,1853.6640873918977
10332,1853.6640873918977
10333,1853.6640873918977
10334,1853.6640873918977
10335,1853.6640873918977
10336,1853.6640873918977
10337,1853.6640873918977
10338,1853.6640873918977
10339,1853.6640873918977
10340,1853.6640873918977
10341,1853.6640873918977
10342,1853.6640873918977
10343,1853.6640873918977
10344,1853.6640873918977
10345,1853.6640873918977
10346,1853.6640873918977
10347,1853.6640873918977
10348,1853.6640873918977
10349,1853.6640873918977
10350,1853.6640873918977
10351,1853.6640873918977
10352,1853.6640873918977
10353,1853.6640873918977
10354,1853.6640873918977
10355,1853.6640873918977
10356,1853.6640873918977
10357,1853.6640873918977
10358,1853.6640873918977
10359,1853.6640873918977
10360,1853.6640873918977
10361,1853.6640873918977
10362,1853.6640873918977
10363,1853.6640873918977
10364,1853.6640873918977
10365,1853.6640873918977
10366,1853.6640873918977
10367,1853.6640873918977
10368,1853.6640873918977
10369,1853.6640873918977
10370,1853.6640873918977
10371,1853.6640873918977
10372,1853.6640873918977
10373,1853.6640873918977
10374,1853.6640873918977
10375,1853.6640873918977
10376,1853.6640873918977
10377,1853.6640873918977
10378,1853.6640873918977
10379,1853.6640873918977
10380,1853.6640873918977
10381,1853.6640873918977
10382,1853.6640873918977
10383,1853.6640873918977
10384,1853.6640873918977
10385,1853.6640873918977
10386,1853.6640873918977
10387,1853.6640873918977
10388,1853.6640873918977
10389,1853.6640873918977
10390,1853.6640873918977
10391,1853.6640873918977
10392,1853.6640873918977
10393,1853.6640873918977
10394,1853.6640873918977
10395,1853.6640873918977
10396,1853.6640873918977
10397,1853.6640873918977
10398,1853.6640873918977
10399,1853.6640873918977
10400,1853.6640873918977
10401,1853.6640873918977
10402,1853.6640873918977
10403,1853.6640873918977
10404,1853.6640873918977
10405,1853.6640873918977
10406,1853.6640873918977
10407,589.4186884458326
10408,589.4186884458326
10409,589.4186884458326
10410,589.4186884458326
10411,589.4186884458326
10412,589.4186884458326
10413,589.4186884458326
10414,589.4186884458326
10415,589.4186884458326
10416,589.4186884458326
10417,589.4186884458326
10418,589.4186884458326
10419,589.4186884458326
10420,589.4186884458326
10421,589.4186884458326
10422,589.4186884458326
10423,589.4186884458326
10424,589.4186884458326
10425,589.4186884458326
10426,589.4186884458326
10427,589.4186884458326
10428,589.4186884458326
10429,589.4186884458326
10430,589.4186884458326
10431,589.4186884458326
10432,589.4186884458326
10433,589.4186884458326
10434,589.4186884458326
10435,589.4186884458326
10436,589.4186884458326
10437,589.4186884458326
10438,589.4186884458326
10439,589.4186884458326
10440,589.4186884458326
10441,589.4186884458326
10442,589.4186884458326
10443,589.4186884458326
10444,589.4186884458326
10445,589.4186884458326
10446,589.4186884458326
10447,589.4186884458326
10448,589.4186884458326
10449,589.4186884458326
10450,589.4186884458326
10451,589.4186884458326
10452,589.4186884458326
10453,589.4186884458326
10454,589.4186884458326
10455,589.4186884458326
10456,589.4186884458326
10457,589.4186884458326
10458,589.4186884458326
10459,589.4186884458326
10460,589.4186884458326
10461,589.4186884458326
10462,589.4186884458326
10463,589.4186884458326
10464,589.4186884458326
10465,589.4186884458326
10466,589.4186884458326
10467,589.4186884458326
10468,589.4186884458326
10469,589.4186884458326
10470,589.4186884458326
10471,589.4186884458326
10472,589.4186884458326
10473,589.4186884458326
10474,589.4186884458326
10475,589.4186884458326
10476,589.4186884458326
10477,589.4186884458326
10478,589.4186884458326
10479,589.4186884458326
10480,589.4186884458326
10481,589.4186884458326
10482,589.4186884458326
10483,589.4186884458326
10484,589.4186884458326
10485,589.4186884458326
10486,589.4186884458326
10487,589.4186884458326
10488,589.4186884458326
10489,589.4186884458326
10490,589.4186884458326
10491,589.4186884458326
10492,589.4186884458326
10493,589.4186884458326
10494,589.4186884458326
10495,589.4186884458326
10496,589.4186884458326
10497,589.4186884458326
10498,589.4186884458326
10499,940.3973509933775
10500,940.3973509933775
10501,940.3973509933775
10502,940.3973509933775
10503,940.3973509933775
10504,940.3973509933775
10505,940.3973509933775
10506,940.3973509933775
10507,940.3973509933775
10508,940.3973509933775
10509,940.3973509933775
10510,940.3973509933775
10511,940.3973509933775
10512,940.3973509933775
10513,940.3973509933775
10514,940.3973509933775
10515,940.3973509933775
10516,940.3973509933775
10517,940.3973509933775
10518,940.3973509933775
10519,940.3973509933775
10520,940.3973509933775
10521,940.3973509933775
10522,940.3973509933775
10523,940.3973509933775
10524,940.3973509933775
10525,940.3973509933775
