,NAPMPMI Index_ratio
10124,958.4797284827689
10125,958.4797284827689
10126,958.4797284827689
10127,958.4797284827689
10128,958.4797284827689
10129,958.4797284827689
10130,958.4797284827689
10131,958.4797284827689
10132,958.4797284827689
10133,958.4797284827689
10134,977.7225816389408
10135,977.7225816389408
10136,977.7225816389408
10137,977.7225816389408
10138,977.7225816389408
10139,977.7225816389408
10140,977.7225816389408
10141,977.7225816389408
10142,977.7225816389408
10143,977.7225816389408
10144,977.7225816389408
10145,977.7225816389408
10146,977.7225816389408
10147,977.7225816389408
10148,977.7225816389408
10149,977.7225816389408
10150,977.7225816389408
10151,977.7225816389408
10152,977.7225816389408
10153,977.7225816389408
10154,977.7225816389408
10155,977.7225816389408
10156,977.7225816389408
10157,977.7225816389408
10158,977.7225816389408
10159,977.7225816389408
10160,977.7225816389408
10161,977.7225816389408
10162,977.7225816389408
10163,977.7225816389408
10164,977.7225816389408
10165,977.7225816389408
10166,977.7225816389408
10167,977.7225816389408
10168,977.7225816389408
10169,977.7225816389408
10170,977.7225816389408
10171,977.7225816389408
10172,977.7225816389408
10173,977.7225816389408
10174,977.7225816389408
10175,977.7225816389408
10176,977.7225816389408
10177,977.7225816389408
10178,977.7225816389408
10179,977.7225816389408
10180,977.7225816389408
10181,977.7225816389408
10182,977.7225816389408
10183,977.7225816389408
10184,977.7225816389408
10185,977.7225816389408
10186,977.7225816389408
10187,977.7225816389408
10188,977.7225816389408
10189,977.7225816389408
10190,977.7225816389408
10191,977.7225816389408
10192,977.7225816389408
10193,977.7225816389408
10194,977.7225816389408
10195,977.7225816389408
10196,977.7225816389408
10197,977.7225816389408
10198,977.7225816389408
10199,977.7225816389408
10200,977.7225816389408
10201,977.7225816389408
10202,977.7225816389408
10203,977.7225816389408
10204,977.7225816389408
10205,977.7225816389408
10206,977.7225816389408
10207,977.7225816389408
10208,977.7225816389408
10209,977.7225816389408
10210,977.7225816389408
10211,977.7225816389408
10212,977.7225816389408
10213,977.7225816389408
10214,977.7225816389408
10215,977.7225816389408
10216,977.7225816389408
10217,977.7225816389408
10218,977.7225816389408
10219,977.7225816389408
10220,977.7225816389408
10221,977.7225816389408
10222,977.7225816389408
10223,977.7225816389408
10224,977.7225816389408
10225,977.7225816389408
10226,1044.6076790274187
10227,1044.6076790274187
10228,1044.6076790274187
10229,1044.6076790274187
10230,1044.6076790274187
10231,1044.6076790274187
10232,1044.6076790274187
10233,1044.6076790274187
