,CPUPXCHG Index_ratio
10132,986.259228876128
10133,986.259228876128
10134,875.5458515283842
10135,875.5458515283842
10136,875.5458515283842
10137,875.5458515283842
10138,875.5458515283842
10139,875.5458515283842
10140,875.5458515283842
10141,875.5458515283842
10142,875.5458515283842
10143,875.5458515283842
10144,875.5458515283842
10145,875.5458515283842
10146,875.5458515283842
10147,875.5458515283842
10148,875.5458515283842
10149,875.5458515283842
10150,875.5458515283842
10151,875.5458515283842
10152,875.5458515283842
10153,875.5458515283842
10154,875.5458515283842
10155,875.5458515283842
10156,875.5458515283842
10157,875.5458515283842
10158,875.5458515283842
10159,875.5458515283842
10160,875.5458515283842
10161,875.5458515283842
10162,875.5458515283842
10163,875.5458515283842
10164,875.5458515283842
10165,875.5458515283842
10166,875.5458515283842
10167,875.5458515283842
10168,875.5458515283842
10169,875.5458515283842
10170,875.5458515283842
10171,875.5458515283842
10172,875.5458515283842
10173,875.5458515283842
10174,875.5458515283842
10175,875.5458515283842
10176,875.5458515283842
10177,875.5458515283842
10178,875.5458515283842
10179,875.5458515283842
10180,875.5458515283842
10181,875.5458515283842
10182,875.5458515283842
10183,875.5458515283842
10184,875.5458515283842
10185,875.5458515283842
10186,875.5458515283842
10187,875.5458515283842
10188,875.5458515283842
10189,875.5458515283842
10190,875.5458515283842
10191,875.5458515283842
10192,875.5458515283842
10193,875.5458515283842
10194,875.5458515283842
10195,875.5458515283842
10196,875.5458515283842
10197,875.5458515283842
10198,875.5458515283842
10199,875.5458515283842
10200,875.5458515283842
10201,875.5458515283842
10202,875.5458515283842
10203,875.5458515283842
10204,875.5458515283842
10205,875.5458515283842
10206,875.5458515283842
10207,875.5458515283842
10208,875.5458515283842
10209,875.5458515283842
10210,875.5458515283842
10211,875.5458515283842
10212,875.5458515283842
10213,875.5458515283842
10214,875.5458515283842
10215,875.5458515283842
10216,875.5458515283842
10217,875.5458515283842
10218,875.5458515283842
10219,875.5458515283842
10220,875.5458515283842
10221,875.5458515283842
10222,875.5458515283842
10223,875.5458515283842
10224,875.5458515283842
10225,875.5458515283842
